"","ID","I_m","I_mr","fs"
"1","il_17110",-0.532744125440353,1.47241326476016,0
"2","il_17117",-0.546474808490063,1.43885086663438,0
"3","il_17144",-0.585075776612144,1.34543064361122,0
"4","il_17155",-0.566932085692707,1.39694619108442,0
"5","il_17162",-0.559844688061745,1.40700766924889,0
"6","il_17164",-0.576368706500854,1.36907613909723,0
"7","il_17168",-0.57209604473158,1.37440684621785,0
"8","il_17123",-0.54640631231373,1.43901776861332,0
"9","il_17135",-0.545225442952761,1.44101301593142,0
"10","il_12130",-0.512151847608754,1.50412232758569,0
"11","il_12140",-0.51635039772125,1.49563888412841,0
"12","il_13105",-0.511159996475492,1.51004108701433,0
"13","il_13125",-0.521159827709198,1.48597065760539,0
"14","il_13135",-0.523295744425721,1.48258122801781,0
"15","il_13146",-0.528698366179186,1.47376375619103,0
"16","il_14115",-0.519281975649021,1.4941396948732,0
"17","il_14120",-0.526758418753743,1.48514448076487,0
"18","il_15120",-0.531506675808035,1.47745435900942,0
"19","il_30145",-0.411689890594017,1.65006711424851,0
"20","il_30155",-0.440990561530704,1.63187237769838,0
"21","il_30165",-0.420391065534204,1.64674094319344,0
"22","il_30170",-0.440497386328717,1.6191215337591,0
"23","il_30175",-0.42213012450891,1.64664557561021,0.00781237488633376
"24","il_31110",-0.477680207504702,1.56301833852867,0
"25","il_31115",-0.507310732322581,1.52170729987762,0
"26","il_31155",-0.505505623860596,1.53393512451811,0
"27","il_31160",-0.514456891176993,1.52286297082901,0
"28","il_31163",-0.544558158107832,1.46032554417654,0
"29","il_31165",-0.576695171040548,1.38282585563794,0
"30","il_31198",-0.483301780745592,1.54297907230685,0.00421722378542893
"31","il_34160",-0.536911565103108,1.44824050876159,0
"32","il_18115",-0.597273210684458,1.32240428671692,0
"33","il_18125",-0.601828196469475,1.31071909736185,0
"34","il_18131",-0.60045269781893,1.31183474237269,0
"35","il_18150",-0.599981985995134,1.30252716846079,0
"36","il_18178",-0.587685968684054,1.30879468616398,0
"37","il_18180",-0.599981985995134,1.30252716846079,0
"38","il_19180",-0.654192282664065,1.15531159293748,0
"39","il_23137",-0.777608302939637,0.755857597518207,0
"40","il_19130",-0.657069483887066,1.15948173652996,0
"41","il_19160",-0.635862617293505,1.22577256301111,0
"42","il_19178",-0.633933457277589,1.21807329513259,0
"43","il_2105",-0.407505851178556,1.6593393873524,0
"44","il_21105",-0.756388400991758,0.821466769774755,0
"45","il_21120",-0.721439810622205,0.941058175631689,0
"46","il_21130",-0.72707045963034,0.915536835906096,0
"47","il_23134",-0.832070431672037,0.563778554555029,0
"48","il_23150",-0.814048804524262,0.621440577017349,0
"49","il_23160",-0.793486731105269,0.674971423028263,0
"50","il_25191",-0.875201376391129,0.402663648548261,0
"51","il_30118",-0.347290742195259,1.73516366239321,0.0107566067727946
"52","il_30120",-0.375943878659031,1.70573808031473,0.0172216248268272
"53","il_30122",-0.377134720887773,1.70425306132664,0.0170817740451709
"54","il_30124",-0.367608317174017,1.72792889550328,0
"55","il_30125",-0.381898204540158,1.70107090866173,0.00348703186590593
"56","il_30128",-0.395000085660389,1.68457516375042,0.00302209428378514
"57","il_30131",-0.441455791073461,1.62408739520657,0
"58","il_30136",-0.389097394618662,1.68938250198253,0.0127886170079369
"59","il_23105",-0.853483045409466,0.481415085751435,0
"60","il_23103",-0.837904805486852,0.539262029257688,0
"61","il_59185",-0.94021344719789,0.191552025767473,0
"62","il_57160",-0.905069440744499,0.302748080113488,0
"63","il_38175",-0.606924170991814,1.28729731865613,0
"64","il_4110",-0.45211584424531,1.61239750076223,0
"65","il_48125",-0.704880687925551,1.04244461048532,0
"66","il_48130",-0.695640796076053,1.0614973435957,0
"67","il_48185",-0.851172256469727,0.515176170212882,0
"68","il_48192",-0.850411083191207,0.506540635002659,0
"69","il_5110",-0.449611250707444,1.60738128677328,0
"70","il_55106",-0.848507233049678,0.503801123506721,0
"71","il_55140",-0.870848602523991,0.425021730931496,0
"72","il_55165",-0.839972355536052,0.538863958347411,0
"73","il_56140",-0.891410823636407,0.345747240437757,0
"74","il_56150",-0.913871764701194,0.270999661007107,0
"75","il_56164",-0.917704487917224,0.258485997193738,0
"76","il_57125",-0.957153718540634,0.128355287987253,0
"77","il_57130",-0.963223255435806,0.107794476598276,0
"78","il_57165",-0.954321020969032,0.137092761802127,0
"79","il_57180",-0.955391605959998,0.135812598864237,0
"80","il_57190",-0.954474232503437,0.136796426716921,0
"81","il_58150",-0.962987162496733,0.111791967403276,0
"82","il_58175",-0.965321839540854,0.106655068096073,0
"83","il_59195",-0.954137479656198,0.141640571396003,0
"84","il_60105",-0.968023123412297,0.0951915856065421,0
"85","il_60110",-0.96840544231236,0.0943737737834454,0
"86","il_60140",-0.974615918738501,0.075763647045408,0
"87","il_60150",-0.971123347206721,0.0846974215810261,0
"88","il_60170",-0.973468189146005,0.0776951979188358,0
"89","il_60190",-0.98553746342659,0.0433068513870239,0
"90","il_7105",-0.477887241600903,1.57617245595007,0
"91","il_8130",-0.504624474793673,1.52045872062445,0
"92","il_8140",-0.514093955978751,1.49797676503658,0
"93","il_8146",-0.540085850744786,1.45431841789991,0
"94","il_8155",-0.502925583009803,1.52851909606956,0
"95","il_48188",-0.893321001902223,0.357733020558953,0
