"","ID","I_m","I_mr","fs"
"1",1,0.112412594863747,1.38302020129994,0
"2",2,0.106462280077117,1.37866378580774,0
"3",3,0.103457775863387,1.37584015254672,0
"4",4,0.101121922442219,1.37243149406982,0
"5",5,0.105989422807668,1.37572396018947,0
"6",6,0.111670176762034,1.37432867603236,0
"7",7,0.159266126403347,1.36485795083755,0
"8",8,0.146091026353783,1.37209518759378,0
"9",9,0.137036262866209,1.37446713334254,0
"10",10,0.0909949735634857,1.37583722008599,0
"11",11,0.189934002537704,1.31671766305374,0
"12",12,0.0852082846196074,1.36905754239936,0
"13",13,0.107837990925806,1.36774504620854,0
"14",14,0.137362384682764,1.39174541442291,0
"15",15,0.124034885987639,1.38757795413335,0
"16",16,0.181838221240627,1.3133709171544,0.00161861960330735
"17",17,0.138934050997098,1.38277574380239,0
"18",18,0.200320666929086,1.31300391303168,0.0053463014960289
"19",19,0.120000130726375,1.37935303950655,0
"20",20,0.180736139538835,1.32750994260194,0
"21",21,0.122782877223058,1.39838555364898,0
"22",22,0.109213261865079,1.3840279156963,0
"23",23,0.0975553515282544,1.38367738507011,0
"24",24,0.227771115399176,1.27240407466888,0.00317441119301704
"25",25,0.207290211632367,1.28852995749443,0.0051692109555006
"26",26,0.156673656377686,1.29806789910719,0.00266520648017495
"27",27,0.256803787949652,1.2625061282427,0.0285876722692853
"28",28,0.238214607019841,1.27754595962124,0.0220124610780698
"29",29,0.234141691199408,1.2796249750605,0.0212057216668316
"30",30,0.123726708277807,1.39139387163065,0
"31",31,0.0933541302363594,1.37965693411889,0
"32",32,0.310060106142603,1.26412570235705,0.128401243174919
"33",33,0.245126064910608,1.28477761745453,0.0395993674001774
"34",34,0.195163517507236,1.29816096400577,0.0227883950430889
"35",35,0.14888798181392,1.37514471102364,0
"36",36,0.0909559295877166,1.38339918592702,0
"37",37,0.196292967042502,1.33863199458403,0
"38",38,0.0980783818250007,1.38268001536106,0
"39",39,0.100231396068226,1.39371345910159,0
"40",40,0.233408112226841,1.26779261995309,0
"41",41,0.22025808077378,1.28681000259291,0
"42",42,0.200212430682494,1.30477078818549,0
"43",43,0.150241823385958,1.34352096594765,0
"44",44,0.159972005013644,1.3293968415003,0.00416339849754823
"45",45,0.160963459216981,1.32259523697752,0.006440428677513
"46",46,0.0643488238797168,1.32111250300434,0
"47",47,0.131899026532968,1.37013684534559,0
"48",48,0.129946253344155,1.36970532672447,0
"49",49,0.122254377953252,1.36758280692457,0
"50",50,0.225603133440018,1.30289304256439,0
"51",51,0.218694043603349,1.28423697390455,0
"52",52,0.193153855074754,1.31208632345782,0
"53",53,0.085522891746627,1.4014196395874,0
"54",54,0.0534461856995885,1.33427916507463,0
"55",55,0.0965207243763556,1.33386476490441,0
"56",56,0.08824195289934,1.32645499706268,0
