"","ID","I_m","I_mr","fs"
"1","03001",-0.553228753419658,1.32888961674562,0
"2","03002",-0.409181950318531,1.61935050920105,0
"3","03003",-0.460822617458846,1.68880467981645,0
"4","03004",-0.588128581828668,1.36358122079227,0
"5","03005",-0.479916809307114,1.64500612793338,0
"6","03006",-0.484484396239414,1.59589555070681,0
"7","03007",-0.473452213413427,1.65742556455771,0
"8","03008",-0.537218323393294,1.47368180714238,0
"9","03009",-0.558445764514025,1.33197601011302,0
"10","03010",-0.524610861013753,1.45628233586625,0
"11","03011",-0.538310289721983,1.44469556507397,0
"12","03012",-0.474718481376934,1.66812229444776,0
"13","03013",-0.519069171759147,1.48724989489664,0
"14","03014",-0.548184434950361,1.46812040199016,0
"15","03015",-0.507835473870873,1.53792972564697,0
"16","03016",-0.496302664822478,1.58090657847936,0
"17","03017",-0.418881314436285,1.63660735870614,0
"18","03018",-0.396496292353424,1.63401589969868,0
"19","03019",-0.547707731260166,1.32396038827251,0
"20","03020",-0.64547020523862,1.10719263404822,0
"21","03021",-0.372902504869343,1.84412726323629,0
"22","03022",-0.512476041522733,1.46715417926383,0
"23","03023",-0.524708545018633,1.45607866529886,0
"24","03024",-0.539852009867917,1.41472313930286,0
"25","03025",-0.640989025117744,1.11734129793227,0
"26","03026",-0.391805101987264,1.8305039014626,0
"27","03027",-0.531364870432651,1.3940222952101,0
"28","03028",-0.536015047688586,1.48086236252456,0
"29","03029",-0.641445460339834,1.11614105781702,0
"30","03030",-0.559635544766193,1.44080081683067,0
"31","03031",-0.371551183268795,1.63386410175705,0
"32","03032",-0.652298785745558,1.08412062440495,0
"33","03033",-0.309687404210927,1.54652742765658,0
"34","03034",-0.527207305521484,1.45522733945745,0
"35","03035",-0.329937920485062,1.63383294525165,0
"36","03036",-0.545829012682305,1.41437394153468,0
"37","03037",-0.543367060879475,1.45226927401797,0
"38","03038",-0.579072160872892,1.38180948715818,0
"39","03039",-0.557790041436861,1.44363918105704,0
"40","03040",-0.487495857106589,1.59974677281676,0
"41","03041",-0.427660315333253,1.61853280697462,0
"42","03042",-0.418463800819096,1.61110353002602,0
"43","03043",-0.51373689501326,1.46696264918561,0
"44","03044",-0.478319909151625,1.62448645170065,0
"45","03045",-0.374804535816702,1.60121180971249,0
"46","03046",-0.586034804687713,1.31068830862294,0
"47","03047",-0.400074379263815,1.63013523943392,0
"48","03048",-0.473593062063814,1.65621001509143,0
"49","03049",-0.524156527179347,1.45678270520832,0
"50","03050",-0.306951858360765,1.51535730351307,0
"51","03051",-0.644383111359088,1.10990145433369,0
"52","03052",-0.528623977449147,1.49962238888076,0
"53","03053",-0.543993204771565,1.45017998999145,0
"54","03054",-0.472170753881331,1.67471851125755,0
"55","03055",-0.588630451708112,1.26187024096802,0
"56","03056",-0.562151825723965,1.42391622523489,0
"57","03057",-0.405141328419538,1.6435361620282,0
"58","03058",-0.498770307607181,1.57094585858409,0
"59","03059",-0.541435213341432,1.45771896438839,0
"60","03060",-0.559526092564261,1.30742424283696,0
"61","03061",-0.492474082155028,1.57084522423434,0
"62","03062",-0.473476354210634,1.68698440697476,0
"63","03063",-0.626369573260785,1.17023348576792,0
"64","03064",-0.509800561660473,1.51304013589703,0
"65","03065",-0.426162433742443,1.76820409416118,0
"66","03066",-0.559232792056432,1.29247199062468,0
"67","03067",-0.508901888605391,1.56532076711111,0
"68","03068",-0.34844949464288,1.63241611263061,0
"69","03069",-0.673781359637066,1.02079638335467,0
"70","03070",-0.537282618551125,1.47725697871755,0
"71","03071",-0.415993858570542,1.6734322063646,0
"72","03072",-0.483345123826016,1.62987782377377,0
"73","03073",-0.525982905968542,1.45411096825195,0
"74","03074",-0.547606449693283,1.44281032756245,0
"75","03075",-0.5129571100427,1.4673390185316,0
"76","03076",-0.384942400006793,1.63235255664225,0
"77","03077",-0.590883186919364,1.2915009380235,0
"78","03078",-0.507445812624703,1.55182834606075,0
"79","03079",-0.604353509603157,1.26067918360465,0
"80","03080",-0.512476960719075,1.46715555566422,0
"81","03081",-0.455746005191114,1.72865247072854,0
"82","03082",-0.487022990730876,1.63509951913196,0
"83","03083",-0.490222837697678,1.60855917162041,0
"84","03084",-0.537841753652789,1.43229603510936,0
"85","03085",-0.581369149378635,1.2297808280803,0
"86","03086",-0.479600271105559,1.64123682319731,0
"87","03087",-0.536645347405599,1.47559182731778,0
