"","ID","I_m","I_mr","fs"
"1","GRDC_1159100",-0.829063070279203,0.317327478903836,1.39269135857994e-05
"2","GRDC_1159103",-0.82542412183589,0.323846948305326,1.43242082657499e-05
"3","GRDC_1159105",-0.841303127881947,0.301730749302991,1.24396698523379e-05
"4","GRDC_1159110",-0.862894460838961,0.236348314917231,0
"5","GRDC_1159120",-0.854996028092063,0.218013006972771,0
"6","GRDC_1159125",-0.879795750982651,0.147551996282675,0
"7","GRDC_1159130",-0.89650391301557,0.143389763119409,0
"8","GRDC_1159131",-0.894973513663232,0.15263267305014,0
"9","GRDC_1159290",-0.746239775626065,0.413092942073122,3.12053157110256e-05
"10","GRDC_1159300",-0.743964046062526,0.41648841447032,3.15935194168114e-05
"11","GRDC_1159301",-0.733391858940982,0.431150680514935,3.37598483115504e-05
"12","GRDC_1159302",-0.688822221105753,0.438071127833806,0.000106970885042841
"13","GRDC_1159304",-0.714241139128267,0.460922117197632,3.83372490554749e-05
"14","GRDC_1159305",-0.820665276583735,0.259905749269313,0
"15","GRDC_1159310",-0.749808912651729,0.43956802442538,0
"16","GRDC_1159320",-0.758114269585203,0.395135813657956,0
"17","GRDC_1159321",-0.739986878090304,0.434855729781935,0
"18","GRDC_1159325",-0.752950798875932,0.398984389953287,0
"19","GRDC_1159330",-0.779873971739293,0.36313233888977,0
"20","GRDC_1159333",-0.718141969599097,0.474300326199171,0
"21","GRDC_1159335",-0.770555340870824,0.389340978094529,0
"22","GRDC_1159337",-0.73125084459166,0.453304461283378,0
"23","GRDC_1159400",-0.75817193760178,0.473475504433636,0
"24","GRDC_1159403",-0.782208402522882,0.43793675716759,0
"25","GRDC_1159405",-0.78884650426131,0.429347968969345,0
"26","GRDC_1159410",-0.720927699798949,0.429890482340127,0
"27","GRDC_1159413",-0.717199191228836,0.434055417614739,0
"28","GRDC_1159415",-0.718323901792421,0.439428295260113,0
"29","GRDC_1159417",-0.704975461937002,0.442407123113298,0
"30","GRDC_1159419",-0.747493129569231,0.387954771134657,0
"31","GRDC_1159450",-0.715273835834107,0.497114529114041,1.74951569707369e-07
"32","GRDC_1159490",-0.690636186903605,0.521015854821744,2.29647432981756e-07
"33","GRDC_1159500",-0.690480302540059,0.521228658176963,2.29715159160816e-07
"34","GRDC_1159510",-0.703336332024255,0.456847795146082,0
"35","GRDC_1159511",-0.703266322920152,0.457043812791,0
"36","GRDC_1159512",-0.626412749657748,0.53617859248754,0
"37","GRDC_1159513",-0.671713751010091,0.497308754003477,0
"38","GRDC_1159520",-0.717329960873357,0.45488155551527,0
"39","GRDC_1159525",-0.701687458119965,0.489267031977963,0
"40","GRDC_1159530",-0.741398797163268,0.467523308412092,0
