"","ID","I_m","I_mr","fs"
"1","A105003001",0.106848298774019,1.15971102054213,0.00199833254822913
"2","A107020001",0.039195017622002,1.18745557467143,0
"3","A112020001",0.127106195391436,1.18801589564579,0.00182564620201181
"4","A116003002",0.0742339122624698,1.19684282876551,0.00109759431021909
"5","A140202001",0.398915069443839,1.01473554543086,0.2251993039889
"6","A202030001",0.36978706316306,1.03631696639917,0.179834459263545
"7","A204010101",0.298980972596399,1.0749659853823,0.129377936775034
"8","A211030001",0.364558803246302,1.0491040401599,0.17232077503029
"9","A212020002",0.321917170943151,1.07123774671789,0.132460432319806
"10","A231020001",0.149327471696639,1.17950816461018,0.0220010296787534
"11","A234021001",0.206096520632545,1.15284176012303,0.0496337576670215
"12","A251020001",0.258910197462258,1.10656816696192,0.0575387509805816
"13","A270011001",0.223319712494101,1.18234578711646,0.0906914717384747
"14","A273011002",0.241879332123405,1.16523468418582,0.0886343510361725
"15","A284020001",0.0666419692771419,1.18881237991786,0.0113958180960962
"16","A330010001",0.0633885138158935,1.24122340592471,0
"17","A361011001",0.113768976632297,1.25583969140123,0
"18","A369011001",0.0690034295046251,1.23882130754961,0
"19","A373020001",0.0564212217430615,1.26170830805223,0
"20","A380020001",0.099233974628074,1.26840220853778,0.000169246486202647
"21","A402061001",0.342587221982115,1.08196306683249,0.168312212483863
"22","A405062001",0.307677630842428,1.13154042532472,0.134902567541089
"23","A414020202",0.342196163022891,1.09446074068546,0.17606782275252
"24","A417301001",0.287127415835857,1.1574508970434,0.12428279410709
"25","A420063001",0.292035058237158,1.14879615838999,0.123645558967057
"26","A433301001",0.211243838071823,1.2042690792254,0.0655641319851081
"27","A436203001",0.237261614489921,1.18835465915754,0.0845997704972358
"28","A443064001",0.25185428364436,1.18250285848531,0.0909065610979949
"29","A511061001",0.185601989924908,1.22898016937597,0.0558388266279254
"30","A524201001",0.0954706519465856,1.29198343525029,0
"31","A526102003",0.092727922003666,1.29430381075732,0
"32","A542201001",0.0459632583958812,1.31016302848047,0
"33","A543101001",0.0673314057481956,1.30275926579869,0
"34","A550061001",0.141036774169787,1.2562966726043,0.03585692805676
"35","A605102001",0.21695352200222,1.16945520246991,0.076971921502896
"36","A615103001",0.177100880713,1.20555500151798,0.0508500302231048
"37","A662121202",0.142797555064871,1.25728874476183,0.00303008686751127
"38","A673122001",0.0817106229404724,1.29348417534385,0.000591923946211504
"39","A712201001",-0.0135732894967816,1.3093340795229,0
"40","A764201001",0.0334113891676679,1.34248378826305,0
"41","A788101001",0.0112005623055485,1.33798106997966,0
"42","A807101001",0.0465205111276705,1.32498702941381,0
"43","A843101001",0.0353084396381456,1.33615648681644,0
"44","A850061001",0.0667044795000896,1.29521747332625,0.0140060435444887
"45","A901305050",0.165158358538986,1.21720726854482,0.0275358946839715
"46","A907105050",0.0641323721062366,1.2837158266481,0.0047520531490503
"47","A926000101",0.0886317719422613,1.30080359450236,0
"48","A931108050",0.06275466723406,1.30852341148486,0.00197159651928683
"49","A932215050",0.119090962455128,1.29322280739293,0
"50","A975201001",0.0402515167043474,1.3500424418282,0
"51","A983201001",0.0771741771093774,1.34993184376054,0
"52","A986201001",0.0753751718446315,1.35108352641356,0
"53","A994202002",0.0604213348752304,1.35214341875962,0
"54","B022001001",0.0519837760402936,1.33152289980081,0
"55","B109201001",0.0667964824089514,1.31054283227239,0
"56","B115001001",0.0491113651209866,1.31839728501351,0
"57","B128201001",0.0616275145116816,1.3020575515585,0
"58","B134001001",0.0443993705178464,1.31052928758477,0
"59","B222001001",0.0220576731548693,1.29853851698047,0
