"Code","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
1001,0.556392331065449,0.0825688278354916,0.283809991943592,0.570437382779237,0.0187416643155957,0.401609258478598,0.585359138952509,0.0719938849117814,0.34264697613571
1095,0.555114979756643,0.111996235628487,0.287995180658876,0.553973781605645,0.0150223269971992,0.427792837161833,0.551990807056827,0.0598069773859635,0.388202215557211
1151,0.440414239494373,0.123832209563454,0.349501220243207,0.48011831818926,0.0206606928987012,0.500499740181789,0.45996076859758,0.0860804411271893,0.453958790275247
1176,0.524297865830978,0.103515352950743,0.321921450695778,0.534474378231542,0.0144114804001665,0.449946592652121,0.525131005565819,0.0487715661505176,0.426097428283679
1397,0.642591358034651,0.119005770503163,0.237946971232445,0.600770374221373,0.016192849504807,0.380714304972654,0.592059479523936,0.0635214679395726,0.344419052536485
1433,0.560146644058231,0.103052953573878,0.303949913684262,0.536306854550123,0.0128292430853715,0.451180377651198,0.554125316731652,0.0425331832948717,0.403341499973473
7156,0.494535864682382,0.160073211772989,0.285658818786214,0.498777667277092,0.0355495633239678,0.458723277402948,0.498319121805304,0.111637426650943,0.390043451543376
7172,0.410362963844411,0.143118291376179,0.364557965772261,0.40468891457881,0.0241680134700156,0.573527838611722,0.422488409222339,0.0849463410637366,0.492565249713922
3003,0.513359770071907,0.139928065841605,0.272024127416017,0.555063684101088,0.0473431795324219,0.41101834487605,0.518987077052025,0.142679165937078,0.338333757010847
3087,0.769093849524234,0.0654395806565048,0.142697065388835,0.764685049138853,0.0137136991142289,0.220006066827125,0.766758817350202,0.0472260996602115,0.186015082989588
3156,0.626998327827586,0.0832112871880254,0.243627909447922,0.61915414606517,0.0137837384087654,0.367420786625063,0.631356287599506,0.0329824716170558,0.335661240783656
3157,0.692989699357326,0.0694086288702353,0.18946165075586,0.707599497252973,0.0135581382020616,0.278462044893812,0.714971799114143,0.0409075135674992,0.244120687318355
3198,0.65970129573334,0.0893811176117565,0.217292812644067,0.607883015515093,0.0145565498705211,0.374060632328914,0.657792189925396,0.0324544156128115,0.309753394461785
3202,0.571653502949669,0.101730903366583,0.299132021770768,0.50285172190888,0.0303296782198951,0.472154164742281,0.543353858068041,0.0708853093260078,0.385760832605958
3206,0.586515799545277,0.106928386018109,0.283576612641253,0.571352986172821,0.0141714271198866,0.415331899473222,0.568480304782047,0.0411858499593237,0.390333845258626
3210,0.50034466441751,0.118680886487601,0.332445754086636,0.51447345143031,0.0117941217421503,0.475792342239582,0.499527830831572,0.0418559882778522,0.458616180890659
3219,0.660184363577935,0.0663547620573458,0.245413098870384,0.645840054090527,0.0135752763007476,0.340018555455734,0.65375176704847,0.0376288711091857,0.308619361842345
3246,0.346745898317456,0.14619664953305,0.434955358894208,0.316411598629415,0.0112119990223844,0.674604778924175,0.346773538791978,0.0423874967010878,0.610838964506938
3277,0.537544618023447,0.105953238673529,0.315715378079321,0.49828044909936,0.0289497356725436,0.466385597987406,0.529151831511295,0.0724444232945229,0.398403745194181
3291,0.622441224775801,0.0876377289820875,0.235073905668811,0.618603001908802,0.0151710404511474,0.367145690315124,0.638154053561801,0.0402862092794374,0.321559737158777
3307,0.298617007499306,0.183000399779051,0.399897412218826,0.350528982801347,0.0424419107933948,0.603637645849435,0.318197782284535,0.172763084497149,0.509039133218317
3360,0.427779391340794,0.13070171980145,0.36619655434536,0.43029686189471,0.0186755930106017,0.550114790460522,0.430703887587083,0.0749622162793065,0.494333896133574
3403,0.394620799144738,0.0582454832147961,0.479874222030778,0.423012803473895,0.0105888830626193,0.564097413860355,0.401228681409757,0.0450314142449507,0.553739904345328
3414,0.500620722519254,0.124923435479154,0.317779370677477,0.481650426524111,0.0225167778895854,0.497543541320431,0.495554689616344,0.0867512060934047,0.417694104290255
3483,0.50305089652809,0.119661831543108,0.307971699550222,0.513124069894115,0.0261293247593239,0.463914352096679,0.506888408507441,0.0841136527142404,0.408997938778313
3507,0.498501497235165,0.09713611950332,0.301903490720766,0.539738930627035,0.0146990652003512,0.446623105949101,0.522987369690623,0.0691053893725977,0.40790724093696
3518,0.516591864814907,0.118975716985612,0.310367779053933,0.516702442330899,0.0169920150569874,0.465615630416976,0.515101078682591,0.0639255350200169,0.420973386297392
7015,0.778843644056218,0.0645540549039741,0.132495506082028,0.774935264328336,0.0182669139551032,0.20396362843389,0.773562246417539,0.0604582051887152,0.165979548393915
7024,0.613203390464584,0.15072444894688,0.164508394443099,0.62935260302786,0.0596634974697406,0.299173292115575,0.621992416328946,0.180875054269876,0.197132529400893
7036,0.425235975792483,0.282783103190649,0.22025240262872,0.437234612176329,0.144703893408303,0.395889962535932,0.42601601651593,0.29974423694272,0.274239746541362
7072,0.49973987352244,0.179205707117157,0.253334260719298,0.500751721690414,0.0579322743322453,0.432904938364916,0.501972141401993,0.174389598759835,0.323638259838287
7102,0.467037035528605,0.218749709349939,0.233474718639284,0.484427662056531,0.0934632099667968,0.434360439955149,0.46811823364896,0.241994204577817,0.289887561773223
7125,0.222580995872258,0.333138672732154,0.328484354802105,0.219155206789413,0.128335758024194,0.656172377325372,0.230859843860534,0.378399017816609,0.390741138322854
8145,0.60248881493504,0.124895630946556,0.263866220069571,0.371994308967543,0.0675648656418142,0.564233646123669,0.533907171699515,0.0962778986021666,0.369814929698317
8233,0.60883079611269,0.0972835483500652,0.239661546511036,0.604330182138832,0.0220113090291507,0.370059996852387,0.618780676719899,0.0640789888099603,0.317140334470157
8291,0.551588901298177,0.0661782274609918,0.341453569519338,0.500727186858152,0.00696764562658164,0.491173976529213,0.544891554073985,0.0270690129572523,0.428039432968757
8331,0.580772870261234,0.10368620064863,0.256223974226024,0.560107729021181,0.0259683110406751,0.410211416869321,0.583690014132996,0.0667018009458413,0.349608184921166
9166,0.637177162164766,0.0701985348345411,0.252102239215928,0.644777216100406,0.0198959516155064,0.334765230591872,0.63645235322369,0.0488562902015449,0.314691356574766
9207,0.632715421366562,0.0930861043740292,0.237715344492743,0.629834937065673,0.014955579866312,0.353763975934711,0.630237841810094,0.0579615662990644,0.311800591890845
9252,0.725608898984845,0.0747186278210532,0.166894406229764,0.727360919417042,0.0156431384682027,0.257734264318585,0.727676550954785,0.0568855839977251,0.215437865047492
9316,0.666536133951128,0.124650226008209,0.167469521013167,0.644835442084409,0.050012237242775,0.296824480165111,0.657706362699643,0.128025543385259,0.214268093915089
9337,0.644012728836972,0.115428527551102,0.202060521909446,0.626676362860664,0.0350111253161691,0.335639964416132,0.631950748467817,0.100350483817548,0.267698767714643
9372,0.651678476639765,0.0897780752610366,0.210320335304987,0.650678181856065,0.0124836421947037,0.336448124171212,0.656736396144689,0.0368517818001802,0.306411822055143
9404,0.584414802086953,0.121473158378566,0.247668519035633,0.564906297169165,0.0102999649848951,0.425089289185501,0.574891954096856,0.0290073856803388,0.396100660222793
9419,0.702741280517117,0.0784253913423385,0.203385778942636,0.682346774502903,0.00531767316087665,0.312715974093917,0.696137018395001,0.0254219481698417,0.278441033435161
9422,0.587864426604173,0.112693833621749,0.256500575442424,0.589012714307863,0.00454224666384816,0.407301124466678,0.580799124142171,0.0152095910159198,0.403991284841946
9425,0.795354437714723,0.0495531436419533,0.144985003145389,0.709250128352916,0.00520282385602204,0.285416780201396,0.788353584462091,0.0214754762147925,0.190170939323126
9431,0.638923281224428,0.0668701980275093,0.248236213925038,0.520418964533237,0.00555352005188239,0.475101099497329,0.653734809605967,0.0200426104094985,0.326222579984538
9455,0.818918190501856,0.0470060028169208,0.0968324757732109,0.807646044565223,0.0209374816235488,0.176215337726629,0.841807267910286,0.051274765089915,0.10691796699982
10062,0.628439879412299,0.084174301731477,0.245710883369808,0.643972318681146,0.0199303483234087,0.332799599703275,0.626618893867697,0.0820247841392655,0.291356321993037
10066,0.707470293199029,0.0789101468482418,0.177094123016904,0.703240209599951,0.0277442752945244,0.264309643992448,0.715238020488847,0.0855752143057112,0.199186765205442
10117,0.497342399460074,0.161002402675597,0.274212869328775,0.511243167633074,0.0502447510559624,0.435275082205092,0.496491492932271,0.121206822148417,0.382301684919396
10126,0.391986084339776,0.211914620456033,0.305945163225791,0.486042368926425,0.0605828727685102,0.440395658422752,0.399996802857358,0.255823485951008,0.344179711191557
10176,0.63169480527567,0.089914884120421,0.23555454159668,0.63884992248908,0.0137408300879416,0.348627570264386,0.630487654499248,0.0453846238433178,0.324127721657448
10219,0.646906047034525,0.126573766667106,0.196313218323337,0.621035321754156,0.030533278063704,0.346790404731951,0.635749787105193,0.080392492885934,0.283857720008872
10259,0.638173949419507,0.0834718290593737,0.235515891735255,0.634265814612018,0.0171138650848903,0.349837222171591,0.635680310438181,0.0515821072506632,0.312737582311245
10277,0.576203438480953,0.10667303516531,0.267197092451845,0.588251290948255,0.0108677502453544,0.400500461469945,0.574447110178723,0.0428382551918194,0.382714634629461
10317,0.766957521945513,0.0689213493535294,0.136398403567305,0.773127977349263,0.016355411839158,0.212799323116136,0.762976898028014,0.0643636080025033,0.172659493969474
10387,0.664069542745873,0.0818195271587479,0.220216127347629,0.665231361382264,0.0124952510060212,0.323597743291133,0.656860033934069,0.0498186105074413,0.29332135555855
10407,0.519890417038377,0.10133377133791,0.326973548455825,0.499879942365997,0.00878524983204423,0.491881913417707,0.511687055312699,0.0324347391517125,0.455878205535712
10428,0.554434864902849,0.182882821027628,0.177109354197216,0.547996666972077,0.075596024260155,0.389603715413843,0.568073569088431,0.195404796005192,0.236521634906377
10444,0.483116869242998,0.173886917981486,0.27064329952881,0.429845140306694,0.0650616121376359,0.511666885178343,0.491643141621404,0.179988570607293,0.328368287771304
