"Official_ID","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"01AD002",0.561459736557227,0.135910109662188,0.256319353487553,0.551487078772832,0.0210802130849724,0.42480931372743,0.551701215925592,0.0749754226726831,0.373323361401732
"01AD003",0.611018892806573,0.118604156593507,0.232701850662547,0.603758767113433,0.0199291340721861,0.375140646767088,0.604029064873149,0.0696937782149171,0.326277156911931
"01AD015",0.847683984875461,0.0420864842726256,0.157142528685119,NA,NA,NA,0.758374923762376,0.0593134495693007,0.182311626668274
"01AE001",0.673961781008532,0.105207341537736,0.188258749892452,0.660498010611909,0.0312816224531303,0.30740112510242,0.653794106808684,0.10760325806451,0.238602635126805
"01AF006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01AF007",0.472018295735562,0.128818649082363,0.331148345234115,0.475832699597489,0.0187060734005057,0.50823349244434,0.476943442192357,0.0709914380503246,0.452065119757329
"01AF009",0.53855486321062,0.106203315779247,0.309400368849484,0.522705553800472,0.0173618202716617,0.467194109647922,0.531204426008847,0.0662417813567261,0.402553792634438
"01AH005",0.466550735891046,0.13542987242862,0.325210520761795,0.477317224918014,0.0277138603093717,0.486966920352142,0.484114771857184,0.101037972309201,0.414847255833616
"01AJ003",0.390045401950761,0.165082217727254,0.371653786383457,0.380567740412969,0.0229326758229515,0.594247788493545,0.383062224147884,0.0789758202283581,0.537961955623756
"01AJ004",0.413760041706821,0.165952413760752,0.349197278639491,0.406816598091277,0.0254250450652593,0.563787831950424,0.40689274316905,0.0804164662817162,0.512690790549332
"01AJ006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01AJ007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01AJ010",0.302987798525648,0.173806026451478,0.43804663121823,0.302324421917457,0.0211051807161759,0.675294499485127,0.297837775154593,0.0707058756114964,0.631456349233902
"01AJ011",0.312323125460339,0.166857212557668,0.437998998591889,0.310977570500036,0.0274711662043697,0.656663069489232,0.299817336377689,0.0839815240655805,0.616201139556596
"01AK001",0.408288124686411,0.178574003492124,0.345751890259861,0.40548888293967,0.0334163196531805,0.558488465327169,0.405613445333749,0.116757534211312,0.477629020454944
"01AK005",0.30774003567524,0.174106181530092,0.441014308222455,0.308322457114472,0.0198537807037617,0.666562732872228,0.302913002257075,0.0610991594446982,0.635987838298232
"01AK006",0.299340427658459,0.17506023154554,0.440386643229303,0.30287425484915,0.0192158800344355,0.675605549001746,0.303167992439439,0.0667036879953704,0.630128319564953
"01AK007",0.312707882567063,0.178610360797403,0.426824211878418,0.308965815274372,0.0179162060101648,0.671878925172624,0.308811676276572,0.0649926641703241,0.626195659553103
"01AL002",0.36005427825491,0.175359584217202,0.397652380736188,0.354314901471532,0.0264587029222113,0.615231900822031,0.352409473958697,0.0848023068557568,0.562788219185544
"01AL003",0.351072498291785,0.161931914861248,0.426751266457259,0.344149106592025,0.0289406481286714,0.621248839494477,0.343886276124544,0.0846760564117279,0.571437667463725
"01AL004",0.303780501377957,0.185668426633343,0.425290240367879,0.306279566252445,0.0191069183078352,0.67432758011705,0.300719561021911,0.0613452583957212,0.637935180582383
"01AL008",0.444871292690146,0.126971076190125,0.337426110697399,0.462090719011066,0.0310074437551312,0.496607808556982,0.456426947458157,0.0838679369850681,0.459705115556798
"01AM001",0.269519159216906,0.185306641101842,0.461562468043575,0.269569493913319,0.0262197091328263,0.702340593454,0.268040645192754,0.0848399629109872,0.647119391896246
"01AN001",0.410922151877751,0.122403129314335,0.405273768234337,0.304312121936477,0.0292501293102934,0.660905336161961,0.396200578850697,0.0924939244164514,0.511305496732974
"01AN002",0.350609368179001,0.161531571115353,0.41721532996107,0.345608658746543,0.0220473776465214,0.630140024490926,0.346204567113586,0.0828953041473275,0.570900128739106
"01AO009",0.315996862199378,0.148835187944248,0.463525797757388,0.30508092106662,0.029615114932585,0.662836796051845,0.311541985632553,0.0903475161646466,0.598110498202873
"01AP002",0.250029457157172,0.18770829658524,0.481154393196189,0.249712392525734,0.0217238972840539,0.729236398084668,0.249190236196807,0.0829362525744846,0.667873511228695
"01AP004",0.245110946244753,0.193308131924633,0.482531253329311,0.24532089278912,0.0307056292633716,0.721979490659502,0.245821978651135,0.0961439023134343,0.658034119035091
"01AP006",0.255140815080896,0.149893357666624,0.515854133729485,0.162249044461918,0.0181230790348933,0.817534468874515,0.252339389141889,0.0516901202003681,0.695970490657738
"01AP009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01AQ001",0.186733822016664,0.211979991622169,0.516332541202831,0.185353377319691,0.0315076400840233,0.780467857500674,0.184977615789437,0.0965199281598895,0.718502456050685
"01AQ008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01AR007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01AR008",0.227045673850474,0.140987202425491,0.529888969805707,0.235685343083739,0.0219989665197914,0.727542725271925,0.230812990643411,0.076726542931102,0.692460466425484
"01BA001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"01BC001",0.56481340973144,0.129333263550424,0.258378037021154,0.566342184630993,0.016573928242731,0.41911079389248,0.56446537930255,0.0729740075834982,0.362560613113954
"01BD002",0.694491743184161,0.0975186547317917,0.172876481190251,0.697470148634516,0.0205860761771754,0.282594081370596,0.697964005008406,0.0706029316865573,0.231433063304998
"01BD004",NA,NA,NA,NA,NA,NA,NA,NA,NA
