"gauge_id","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
2009,0.653290250910074,0.108173778430319,0.183481082040202,0.659434705342162,0.0357213329432974,0.294306954082448,0.656874730300328,0.0887066590438477,0.254418610655831
2011,0.767346563082653,0.0723747554778091,0.128723747124392,0.770876510547813,0.0218973173081656,0.203040593917941,0.769082734635936,0.0557154544427301,0.175201810921339
2016,0.161341366389495,0.297415180222239,0.435136593193192,0.152829575677585,0.107706606518877,0.716598543664086,0.149582331797266,0.324706417935393,0.525711250267358
2018,0.537406873500523,0.140003744708415,0.266759230220062,0.533311038484443,0.0392138315656822,0.419329373806564,0.529218303847148,0.143837404798408,0.326944291354454
2019,0.71756832081362,0.0731179454388453,0.170457350516349,0.719667600022393,0.0151387121865195,0.263662744731277,0.715368143606221,0.0461474142239553,0.23848444216983
2020,0.220538170286096,0.223493016746462,0.461167506467967,0.222645998489284,0.053476471619018,0.720797995435395,0.21808953677439,0.157566044866311,0.624344418359315
2024,0.680588465898723,0.0955647198679584,0.17306331483136,0.686692711301359,0.0288952797361221,0.276499700863668,0.685290818585296,0.0723847518241862,0.242324429590525
2029,0.228431174398226,0.269460800623223,0.406374227213497,0.219714456877557,0.0951719444368746,0.66479435530287,0.21543531818833,0.29778169013952,0.486782991672166
2030,0.710216121931876,0.0828133483455354,0.174680310489156,0.707357290937007,0.0235281105337131,0.264754018717198,0.70274450181164,0.0772220066032041,0.220033491585162
2033,0.460465179260602,0.153939548314775,0.320317629147762,0.47293804183773,0.0427579093479886,0.477176528440313,0.460233600287916,0.109180174053747,0.430586225658349
2034,0.0958111107005386,0.236920594466087,0.560639329644726,0.0974701671464985,0.0421991073916743,0.853564870823948,0.0982212424492164,0.115979133369778,0.785799624181025
2041,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,0.0499716653665479,0.229589786477781,0.606110536172328,0.0484704887082645,0.0255634303574652,0.922887479415313,0.0477607448580151,0.105875955431599,0.846363299710407
2053,0.652982540264906,0.129803391478224,0.177933402769384,0.647014465368299,0.0604215995158216,0.277999492084866,0.64019891650424,0.149480278003086,0.210320805492735
2056,0.683497069868664,0.0880384378603205,0.193191217318538,0.691076298916303,0.0181280334350724,0.287774191177561,0.683021289070852,0.0560463363986525,0.260932374530502
2063,0.182145081371424,0.286578846233778,0.42892696666587,0.173641174828619,0.101665822688783,0.703043893128477,0.169941322026704,0.313348008078747,0.516710669894567
2067,0.593166113285271,0.124311010167366,0.225009021453835,0.598297875599433,0.0413802152922509,0.353687823505429,0.595930279245138,0.100890387008492,0.303179333746378
2068,0.23311899218906,0.199846125871049,0.48794635520923,0.229442597927421,0.0676393050554555,0.698061635895932,0.228551925406266,0.157760228927976,0.613687845665789
2070,0.0847569056262729,0.230759064905764,0.576300236741053,0.0807067227911747,0.0264170743004211,0.887742702620236,0.0801046990114408,0.113360769239571,0.806534531749008
2078,0.472885020525831,0.180421986732039,0.282712028757305,0.468379238402768,0.0587658592576458,0.467345935821022,0.466488769423919,0.171978127612365,0.361533102963728
2079,0.0433738934639475,0.67009634706746,0.216948178988658,0.0473611427412382,0.508761282108642,0.432539468299958,0.0413659575070497,0.683046481318066,0.275587561174903
2084,0.418001641022357,0.144281515824087,0.372086025727184,0.420808064501808,0.0206105927946354,0.555880422729374,0.414432114961804,0.0897904779182816,0.495777407119927
2085,0.481651772343889,0.158089901284701,0.296950059633634,0.472026476767977,0.0439537361839107,0.476536504985504,0.471338311068795,0.158211009489667,0.370450679441537
2086,0.0647353004337644,0.230489327305978,0.589446765016198,0.0666738493722611,0.0351229365109096,0.894651606528756,0.0658405834410507,0.121728594975563,0.812430821583406
