"grdc_no","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
6113050,0.174360420785513,0.314381272535768,0.457164159170242,0.163224007812596,0.127860142160449,0.670268304871697,0.136908889234299,0.358493660792759,0.504597449972921
6113110,NA,NA,NA,0.161230024204091,0.0987391768853564,0.715939802226623,NA,NA,NA
6144100,0.100747426073038,0.310839662877988,0.46714959387852,0.101212695090349,0.105825720813469,0.7655458356364,0.101271262188009,0.286580272822727,0.612148464989281
6144150,0.0812112014808074,0.328860014517321,0.476738710337761,0.0764623439413615,0.132084508551769,0.762241770073853,0.0807614369789229,0.297570849188891,0.621667713832188
6144200,0.203609211376812,0.264104472843901,0.417414374217134,0.205168726740169,0.0881574355020811,0.693972832641996,0.206776174571053,0.262952864361906,0.53027096106704
6144300,0.0975163373147478,0.285485262556665,0.503874215810833,0.0983629252397041,0.0928243723461169,0.784570568401772,0.0967826838569307,0.245887887409468,0.65732942873357
6144350,0.100044654560614,0.267841388100886,0.525001856849457,0.100340843899654,0.0651816448918737,0.822909727688818,0.100868043678978,0.173187472551741,0.725944483769297
6144400,0.127282138897593,0.239490749671653,0.535032843624304,0.12883128378227,0.0535330680301518,0.807727245540865,0.127010293508218,0.134462499218917,0.738527207272866
6144490,0.193911112213435,0.142573908363772,0.587402233007173,0.196168114053478,0.0330510937203959,0.76214577167535,0.183928895843114,0.115169831516165,0.70090127264072
6158100,0.139433553344788,0.245181029112987,0.510436563085295,0.139220137016947,0.0487853674410539,0.802533918761584,0.137988115734425,0.157232613712443,0.704779270553148
6220100,0.322525500395993,0.124490812308241,0.45439286825078,0.255975114284398,0.062807485258255,0.670661015335669,0.318391282666923,0.0994113490716623,0.582197368261487
6220101,0.229293266015744,0.206518755963269,0.46594623078001,0.240856046291216,0.0600679964299693,0.695710898581476,0.235628738109061,0.145122351505314,0.619248910385624
6220110,NA,NA,NA,0.168029836441018,0.0762288908611744,0.733527554708353,NA,NA,NA
6220111,0.274124956341649,0.206565041749084,0.448178908575371,0.21494268729199,0.0576817665254819,0.728136297576277,0.255990560088121,0.121909568616098,0.622099871295795
6220112,0.273328136063613,0.147318267439797,0.497012469280173,0.210582483231932,0.0303056673736977,0.73695723604073,0.269118173455457,0.0874866828100347,0.643395143734416
6220120,0.166049962278068,0.214871919962304,0.52388884209612,0.133698629545882,0.0736242024775793,0.784474108639699,0.167524250558747,0.216939798323516,0.615535951117717
6220161,0.213648069354642,0.251551125923616,0.456022303191009,0.208641563733283,0.0940409189353291,0.685932209907766,0.210301016172918,0.177249955916323,0.612449027910782
6220162,0.310704006920316,0.139751444790857,0.491947053793208,0.284650081265883,0.0318110044103187,0.667877221968041,0.297953074782169,0.0975422634540059,0.604504661763843
6220170,NA,NA,NA,0.208725420491852,0.115521269454495,0.678571358761591,NA,NA,NA
