"govnr","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
214353,0.0961786827312745,0.338955520410689,0.440277288023602,0.0907236699880434,0.133635926933979,0.736615836787701,0.0880515363468442,0.385169871456101,0.526778592197054
214395,NA,NA,NA,NA,NA,NA,NA,NA,NA
209544,0.0397640339094209,0.331242425034365,0.503751220279038,0.0371044780380097,0.13088656129832,0.813105284073841,0.0398368674465209,0.303937260050646,0.6562258725028
208843,0.0816304041582513,0.344824950648085,0.443566989732098,0.0781828266319096,0.142716289115842,0.739247646367308,0.0758571530570806,0.378728594266969,0.545414252675948
208884,0.094810088196814,0.266638051718209,0.539253340011427,0.0795862350904666,0.0778135703633928,0.824103740066769,0.0844016028742696,0.219436195818243,0.696162201307492
209288,0.0662759442353235,0.276548952906617,0.538202140788807,0.0646319744399071,0.0713537664430489,0.847015050353837,0.0627981491318672,0.230353475826459,0.706848375041672
208918,0.0607412216609457,0.657900006768872,0.17724625492332,0.0599071842593817,0.494694509008461,0.34685060085966,0.0606890696572763,0.7395298413686,0.199781088974122
208926,0.00394075543436297,0.848630487068005,0.0552113547953014,0.00411736280164158,0.735702393060162,0.133070154070226,0.00417166354400924,0.940346317799701,0.0554820186562882
208934,0.18238429615393,0.361983967766391,0.352523101934415,0.177985715690181,0.162055887430948,0.614563900292364,0.16946237132996,0.385602512552813,0.444935116117226
208942,0.162349570305763,0.32529614771739,0.4026031863105,0.179664232977727,0.249237908960868,0.567481480330871,0.163024640517043,0.412541580395052,0.424433779087903
208967,0.0947426035806694,0.363820872483234,0.42416642176978,0.092015791802223,0.182131724445234,0.682182527417794,0.0874155187461404,0.411242774372728,0.50134170688113
208975,0.216091743272071,0.246673280937867,0.421914742904236,0.132613241627538,0.197004212897939,0.653630847890413,0.213735233506842,0.217415823156746,0.568848943336412
208983,0.163071051249238,0.379036851211116,0.345830081984064,0.159629326154242,0.190418248760569,0.599468088629932,0.150180987510241,0.455445063937329,0.394373948552428
214031,0.0708770367034647,0.355050452105058,0.46111205759267,0.0688712944584275,0.166087683087699,0.731138089914732,0.0661605159415594,0.352203869008635,0.581635615049804
209007,0.0772545687644743,0.373302073145208,0.430711057511323,0.073304960530836,0.176552774736807,0.704717603059079,0.070775830057541,0.389499613519573,0.539724556422884
210443,0.030639875714701,0.641349327177934,0.243892147330964,0.0292548510627212,0.508390485595409,0.396428383789024,0.0316965566218148,0.671984882376715,0.296318561001488
210450,0.0295729994270247,0.675416281445608,0.206364419855323,0.0258280162822638,0.553829348340364,0.332659724985623,0.0252963009534547,0.751545329684868,0.223158369361701
210013,0.103783746513772,0.399115228626262,0.378969033871701,0.098844611404905,0.194388101695081,0.647756547682032,0.100105999944703,0.451249051215075,0.448644948840198
210021,0.0561356889665244,0.350517091156328,0.482842252319856,0.0544694933949293,0.155295146075412,0.758407089650976,0.052343056242066,0.343223158492704,0.604433785265206
210039,0.0680940319926535,0.302800885188942,0.514382588312841,0.0470575419978327,0.118401905348482,0.803025068405502,0.0573661111067286,0.277724197616508,0.664909691276771
210054,0.0493339660227221,0.308989985006576,0.539584311149463,0.0425665494746442,0.1034209830246,0.830826608969692,0.0413620972148253,0.244883057006165,0.713754845779008
210062,0.0581050204827556,0.2501285681615,0.593353506528084,0.0421140908126381,0.0749314006634465,0.87890308955347,0.051382900830195,0.182406406171313,0.766210692998488
210070,0.0478559044793217,0.339216362104929,0.508423873907578,0.0446524340911537,0.140669831810333,0.785326855852988,0.0449797346421325,0.261618193479262,0.693402071878606
210088,0.041645720981108,0.288749996850685,0.562809696569682,0.0387141829019143,0.0984900214936387,0.839691922333517,0.0395267930003567,0.189606186212465,0.770867020787177
210328,0.0441858415852029,0.342283887906172,0.508053760970114,0.0397407389401034,0.153409354193516,0.772427569454193,0.0391652695370959,0.288249731409033,0.67258499905387
210096,0.0488918759875134,0.324823735771226,0.526215761178644,0.0456280596988822,0.132259884678788,0.795416364623691,0.0443159315861189,0.245455143884158,0.710228924529721
215020,0.0386361690802563,0.374571806395395,0.487694268995576,0.0382150289574647,0.208836429671473,0.732502723055821,0.0368457862212651,0.331647938054013,0.631506275724721
210955,0.0523631311675872,0.321381233971262,0.50373119377463,0.0531506636027019,0.112525231021994,0.81432530474068,0.0510862690294165,0.336397424938858,0.612516306031724
