"grdc_no","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
1160295,0.347119366637098,0.188048551161781,0.383887298654709,0.286519442649815,0.062595237008857,0.659347168003192,0.357308922380818,0.172886269397628,0.46980480822155
1160300,0.207673645564688,0.192073770563951,0.523889133464823,0.144898735429539,0.0530473555661802,0.798296099248721,0.194944471820383,0.102471639151259,0.702583889028412
1160301,0.171858015520227,0.167483302666015,0.550402339686383,0.145940770176407,0.0296380445620234,0.821250502443387,0.179647667572271,0.0703795657986486,0.749972766629051
1160302,0.136700245652375,0.233054637167587,0.494142206742509,0.165166852509161,0.043874702330623,0.797217016814257,0.159719900935592,0.165738482931021,0.674541616133386
1160303,0.154901833512309,0.217916418020597,0.494304384810298,0.137608430847206,0.0594985453266213,0.805258032860093,0.189252827322928,0.132982198822608,0.677764973854455
1160304,0.183173199280049,0.201812539585187,0.525809079296542,0.142653737940578,0.0348136292155223,0.826520320345889,0.162368203705273,0.126641562238753,0.710990234055974
1160305,0.141098949905208,0.262228854988638,0.464801231052379,0.168131485698048,0.0613838998996307,0.762490538257,0.160245386160515,0.179026455311319,0.660728158528164
1160310,0.143163344600443,0.245637479651928,0.501299799316293,0.114085118325318,0.0784013141222547,0.799850661477143,0.130994378763618,0.209175339535168,0.659830281701219
1160315,0.17613014485126,0.205284339335129,0.543371117790871,0.168780535606402,0.0628247355842634,0.759532825612217,0.165809536156579,0.145929484499266,0.688260979344208
1160317,0.169686317859325,0.199056396207439,0.54504738219627,0.145765727319914,0.0135956370831696,0.839886149321416,0.166149380739526,0.0413568104354516,0.792493808825595
1160318,NA,NA,NA,0.153893016844,0.0489079848198118,0.806384179907833,NA,NA,NA
1160320,0.177276165317204,0.219668194885719,0.513362401380444,0.157733665036854,0.0526943942623774,0.783768956910905,0.170708815507948,0.122297893704695,0.706993290787319
1160324,0.055414650763693,0.147419834972629,0.684317610099889,0.0530874078729892,0.0163844197249385,0.930040375433167,0.0725169609488048,0.0441441340199207,0.883338905031248
1160325,0.0880755580790866,0.146944524394487,0.678546820236382,0.0718193853060268,0.00836986723886395,0.920705007833753,0.0874956582259057,0.0320415009004889,0.880462840873603
1160327,NA,NA,NA,0.0841136380657552,0.0166887597026744,0.897802150454483,NA,NA,NA
1160328,0.0571618632548506,0.20275212349239,0.639243963347084,0.035278507649232,0.0165885687443621,0.944915255688415,0.0519391698634251,0.0531867816593359,0.894874048477232
1160330,0.375177091113898,0.247171560655378,0.350002942912241,0.265984926367068,0.108216009972495,0.606105388454675,0.287800934296432,0.373938702304082,0.338260363399432
1160331,NA,NA,NA,0.231960079890905,0.104827301882747,0.637746978263886,NA,NA,NA
1160332,0.190291523879214,0.159171762174944,0.558128870065087,0.201931456379706,0.0190075792018328,0.784940693904842,0.193925556034724,0.0583883435136497,0.747686100451639
1160340,NA,NA,NA,0.2013696452138,0.0945471649225289,0.705826446017914,NA,NA,NA
1160341,NA,NA,NA,0.101777721406076,0.193562980497446,0.668108876486243,NA,NA,NA
1160343,NA,NA,NA,0.0567327619127483,0.00625580389608313,0.937217084434123,NA,NA,NA
1160345,0.0250244077284371,0.21039936406739,0.614800627119494,0.0185067832966692,0.0309137938698601,0.949331259445736,0.0364337269357018,0.12566622356242,0.837900049501889
1160346,NA,NA,NA,0.068444243428751,0.0347484100354736,0.892994324729126,NA,NA,NA
1160347,NA,NA,NA,0.0769417010120435,0.0278401060085121,0.91436945016943,NA,NA,NA
1160348,0.0813384274923434,0.144637843908004,0.650624680278352,0.0438560154532942,0.0193227739494954,0.938061948542098,0.0903617042061924,0.0766544223147371,0.832983873479068
1160350,NA,NA,NA,0.0453941988228359,0.0400102350921352,0.918909257846476,NA,NA,NA
1160351,0.0617616257308829,0.162625996129357,0.670302481195315,0.0233764349739451,0.0210583107758748,0.95218169312218,0.0658367946283198,0.0482515480633443,0.885911657308327
1160352,NA,NA,NA,0.0327373358333281,0.0217855375472486,0.955390505571737,NA,NA,NA
1160353,0.04066946538117,0.130067559707432,0.630159000551967,0.0302485283675976,0.0229381709742905,0.947660644755226,0.0911594974640053,0.058579515408016,0.850260987127983
1160360,0.0947265111275743,0.282495936730018,0.490058221457282,0.10644546682127,0.0784668944430843,0.810906241673276,0.0928929153537962,0.337509414572849,0.569597670073377
1160361,0.0917732321150452,0.149839247464004,0.626519655019756,0.0854297145838028,0.0363285960662909,0.896116239067976,0.115985412304978,0.0938178197511359,0.79019676794386
1160365,0.0586419780885208,0.25786083701211,0.577158641609652,0.0284452227914094,0.0564695818404648,0.909750920660052,0.0604085818783292,0.188665820959213,0.750925597162454
1160367,0.0354002375652547,0.227584684397697,0.594337285989499,0.0250129694852334,0.0385482800676514,0.928410885299552,0.044866470144671,0.152183340567017,0.80295018928831
1160368,0.0331902033615443,0.269035917680625,0.568761256419338,0.0373418168853765,0.0672285388337852,0.884486999957323,0.0369695258229388,0.203927605344687,0.759102868832367
1160370,0.0931415701468898,0.145673206944571,0.677846278536503,0.0247756046397555,0.0183134860472503,0.956407256404887,0.0772653249188698,0.0641666423298552,0.858568032751271
1160373,0.0307361462058998,0.192051752602573,0.635023222430972,0.0265007546444067,0.0151195990251766,0.95471409248441,0.0357581007948313,0.0555036507396952,0.908738248465447
1160375,NA,NA,NA,0.0885695320027391,0.0279894624503636,0.88456420196207,NA,NA,NA
1160376,0.0408286028748222,0.207832800914684,0.641694337926124,0.0309562058880139,0.0313306001343068,0.932053984425513,0.0396305516090533,0.0898912713908067,0.870478177000129
1160378,0.0341856200011419,0.148291197311516,0.589911072601493,0.0386445309248863,0.0163357612528204,0.949486241854019,0.0887279018394188,0.0385810874337634,0.872691010726938
1160380,NA,NA,NA,0.0258703127003105,0.128908076342559,0.772745644442207,NA,NA,NA
1160385,0.0621488332821417,0.195326135236451,0.631741772067612,0.0327652583660842,0.029461956162046,0.936581967989222,0.0620842403066875,0.107917812670035,0.82999794702328
1160390,NA,NA,NA,0.069194848797504,0.049964187230304,0.870460965710753,NA,NA,NA
1160391,0.107964926033611,0.167864346421667,0.642119586703905,0.0700164729933572,0.0108500030765527,0.916084998885028,0.0826495828557555,0.0414051594711729,0.875945257673065
