"sta_code_h3","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"A105003001",0.0965077192865207,0.25314292554597,0.536294753332717,0.0993943538501971,0.0467280818402135,0.844318168210515,0.0985084460270145,0.129996300812787,0.771495253160217
"A107020001",0.142531243023468,0.208605086492781,0.54749812646122,0.123395476034099,0.0620407656129124,0.803614850364679,0.153559577674868,0.135091618121905,0.71134880420323
"A112020001",0.0931153967463883,0.200025453154254,0.592392428803665,0.0915736217955754,0.0454803632357092,0.857389796357754,0.0981535874577971,0.110573396058531,0.79127301648367
"A116003002",0.136605077691213,0.217344830467399,0.547529036516145,0.130739907188045,0.042973034496734,0.813661229524233,0.129999378004792,0.130035310026439,0.739965311968766
"A140202001",0.169938852129556,0.170150320645866,0.565903240318023,0.136034334667946,0.0254261557278664,0.832245318244468,0.171510854021268,0.0992247666352905,0.729264379343297
"A202030001",0.24265580616729,0.199600140329716,0.470434055266101,0.227758480337909,0.0485106057846082,0.713874343125901,0.239129766676649,0.147235259927634,0.613634973395719
"A204010101",0.22801370979745,0.207732025975857,0.479986167510515,0.211848989741668,0.0556634802224557,0.726069637606644,0.22422455386142,0.138368642668639,0.637406803469936
"A211030001",0.227105404394604,0.21235296307757,0.469020319437785,0.2162782428985,0.0446096575093092,0.726193135465378,0.225083921464265,0.140708781745658,0.634207296790078
"A212020002",0.25396029047137,0.190422493024355,0.470607835571388,0.221207171607052,0.0672236407337208,0.706939107429091,0.245875086464899,0.183476567446817,0.570648346088232
"A231020001",0.236793841175729,0.198917186448185,0.476213823572313,0.234936473180093,0.0391305375729182,0.719010041784131,0.236014457687247,0.126051527389567,0.637934014923176
"A234021001",0.172738979960064,0.225376786495715,0.504011088125459,0.161376482944254,0.0408285390755866,0.792768895975448,0.172757727076308,0.125401973771086,0.7018402991526
"A251020001",0.248293969776444,0.237120118928606,0.426825893825447,0.242975514763946,0.069834124606653,0.673650370821399,0.24529434823654,0.188018721236151,0.566686930527303
"A270011001",0.205150054802698,0.23675039528233,0.460914515055785,0.207140660064001,0.0573522952215535,0.727141085208142,0.201000924536032,0.17253553040416,0.626463545059808
"A273011002",0.256773594803829,0.198004527378937,0.454109260508582,0.230276697357042,0.0542266049971282,0.710888725087256,0.254339431262886,0.135209855669796,0.610450713067127
"A284020001",0.200808362873512,0.311824160349526,0.394383664383016,0.188784650312131,0.120376608617602,0.672780829764116,0.191197644873475,0.286156081769572,0.522646273356954
"A330010001",0.168457046164069,0.307183137526443,0.410335078240334,0.186104671382838,0.125002886067072,0.675720667294366,0.174775899721822,0.265022300034393,0.560201800243801
"A361011001",0.18743026537562,0.345806052031607,0.351326191458893,0.21077610282012,0.19333152358726,0.573755605150131,0.197189620595835,0.363775182970985,0.439035196433234
"A369011001",0.257330844945062,0.25806414795202,0.379060850856158,0.251555650109846,0.127330191271372,0.602368877595327,0.268459005728318,0.254550412331203,0.476990581940483
"A373020001",0.157339374576809,0.238661401392102,0.498379205915774,0.17155894205618,0.0599638725454597,0.764086425991102,0.159884059046545,0.128966173704803,0.71114976724867
"A380020001",0.193129956405593,0.402755505607273,0.30409127573825,0.19461762852404,0.243338507019772,0.53008640243694,0.191042135315226,0.440785166250454,0.368172698434319
"A402061001",0.226964512792953,0.161317372470222,0.519183374844216,0.13800868101484,0.0275824018944408,0.826923570856689,0.20905325787667,0.0739374122646419,0.717009329858683
"A405062001",0.165563051142716,0.182162744125978,0.559671469781376,0.162725415330274,0.0331815246031103,0.802247959395752,0.167512330348538,0.0910538141305149,0.741433855520944
"A414020202",0.166460085324422,0.22300835506545,0.51157029397994,0.166972348163331,0.0369950315634002,0.802134702625624,0.16589590610653,0.129774063729919,0.704330030163555
"A417301001",0.190332434010796,0.212038825553652,0.512236693893958,0.189910599842345,0.0461096992246113,0.759302442102276,0.182927360556208,0.149257410681569,0.66781522876227
"A420063001",0.173084748954142,0.221227893843773,0.513800208897195,0.178036920153649,0.0368799372892981,0.780490105404359,0.169894123034924,0.128082684794485,0.702023192170685
"A433301001",0.231973897559079,0.188101871332789,0.499856753784923,0.224274069208214,0.076281367507434,0.678991172460025,0.220283076213766,0.171389326589106,0.608327597197164
"A436203001",0.253124998253552,0.197801477644939,0.472511501124268,0.251441744051047,0.0554036612793025,0.68046316976982,0.249248134640329,0.175920796929717,0.574831068429649
"A443064001",0.184719212750639,0.234336624664446,0.478878803152448,0.186521134191298,0.0466072341495411,0.761919836725997,0.184547499153309,0.149761897681331,0.665690603165377
"A511061001",0.209870232567517,0.18814250611593,0.492468311709013,0.196920435304245,0.0581201347333142,0.737435265505657,0.223751552966983,0.13857141758856,0.63767702944446
"A524201001",0.173874175491483,0.187496918201967,0.545162106316357,0.1665064225126,0.0417790426150608,0.780528162834023,0.172831486935885,0.12088029374885,0.706288219315266
"A526102003",0.152155620537883,0.218481669455524,0.533040842787122,0.148444942665385,0.0410115042074251,0.805718640430154,0.148159205032055,0.112339384724987,0.739501410242959
"A542201001",0.155996691700058,0.21203983754743,0.537362325966513,0.149078001652148,0.0310424488850574,0.819627383255039,0.15768357853836,0.099840241368244,0.74247618009306
"A543101001",0.162304741707719,0.212927096419362,0.523510744239223,0.165691171009379,0.0360352302368663,0.793172439723825,0.161479527257168,0.112906497151938,0.725613975590943
"A550061001",0.282710278086053,0.174072897546954,0.437716324759176,0.234115341938203,0.0385911272444473,0.712452682041917,0.277931732832752,0.118965888293461,0.603102378873792
"A605102001",0.166280032895456,0.262305047669354,0.463929880911795,0.173700825084278,0.0572247484548958,0.757487811518116,0.169143624904167,0.189182361290845,0.641674013805005
"A615103001",0.187158300155304,0.204582679188467,0.510604551561776,0.20224048594162,0.0551947249753502,0.725417030040236,0.202250427471087,0.178989087175005,0.61876048535393
"A662121202",0.175887654351876,0.248690141468737,0.493126511524604,0.182684791319826,0.102403925034915,0.711848606577746,0.16707034995773,0.227702841798269,0.605226808244017
"A673122001",0.144229201465629,0.256297337416918,0.487084927276533,0.151287200038246,0.0641800375457683,0.769015293770425,0.146352698066278,0.166788567668295,0.686858734265445
"A712201001",0.23239854078486,0.256157174362245,0.415475528880585,0.264958966689653,0.0842365400979077,0.64116312772827,0.234011743029766,0.24981384162241,0.516174415347793
"A764201001",0.203012175829373,0.179960209086298,0.551033630566259,0.150621645860271,0.0585886895765798,0.781512774624203,0.199693205649998,0.0931217449225374,0.707185049427383
"A788101001",0.266484952668261,0.190354512230629,0.465722035289498,0.247291071061454,0.069788913351654,0.67801271991934,0.259935221501478,0.147020638273678,0.593044140224824
"A807101001",0.220097554483373,0.200109356907194,0.515655147282243,0.203265738849898,0.040699915722179,0.750551218488539,0.207085471072697,0.112834519330747,0.680080009596551
"A843101001",0.268004784220138,0.194684185612766,0.422246424649957,0.242796676068195,0.0572092331327987,0.69029184290929,0.289813545681392,0.152827783793939,0.55735867052467
"A850061001",0.30713802832052,0.159612081891729,0.479143043606511,0.250530109184729,0.0588709513059107,0.67319445227001,0.28810310284813,0.153486583006678,0.558410314145168
"A901305050",0.219057811171118,0.174523139380838,0.504383427749123,0.15183320701192,0.081800872265248,0.737473587019499,0.21864729422673,0.25498464004183,0.52636806573144
"A907105050",0.187756992630785,0.195393030652424,0.513713133125757,0.182555349467115,0.033752670861055,0.77363795730565,0.194794505499933,0.134398632143573,0.670806862356484
"A926000101",0.168316969122016,0.210527942786334,0.54136652056505,0.143317372817843,0.0660285733987593,0.777104074968838,0.152847835643766,0.139714885932751,0.707437278423479
"A931108050",0.195066939397513,0.206339274100165,0.496883521299699,0.188474421398261,0.0535056472939277,0.75146294155636,0.20127727625917,0.127948681179067,0.670774042561751
"A932215050",0.151695663341621,0.30250558380464,0.406847073373633,0.0845669791960905,0.369673308835459,0.501474345165275,0.165085776172551,0.322155527256016,0.512758696571583
"A975201001",0.22927436420939,0.143267080465358,0.549631458770479,0.177619079697204,0.0530700729898488,0.748813077313517,0.234151561975898,0.107934216772852,0.65791422125125
"A983201001",0.277827056838205,0.153626081870044,0.503218737400993,0.228510006761468,0.0533156755810468,0.704864405937344,0.258814224137472,0.142574897366647,0.598610878495809
"A986201001",0.204538402469853,0.235611840733214,0.463705429674134,0.227421730532743,0.0595186032633202,0.70986779325926,0.207042235086402,0.166963529573881,0.62599423533972
"A994202002",0.279310036938427,0.186917430282261,0.468519873165553,0.201920539825335,0.0725437035749075,0.719574667116168,0.258220828373618,0.137145682361968,0.604633489264417
"B022001001",0.199115274016209,0.215361952388705,0.489978724369234,0.198783424804489,0.029582812730993,0.764453178650293,0.195018132282444,0.0990102163283173,0.705971651388707
"B109201001",0.161412892903083,0.218587542955643,0.511331390375154,0.164986817042873,0.034732663135955,0.79191166715103,0.16669966259183,0.120574262688492,0.712726074719677
"B115001001",0.217504836985909,0.203918257038877,0.481547469526283,0.219230888051221,0.0412044917575093,0.728701414074582,0.218944514761436,0.115237000175436,0.665818485063124
"B128201001",0.201241576706842,0.192107415903219,0.512528017187763,0.200010704307413,0.0331119075835767,0.765973256175145,0.198309026898816,0.0984317146221663,0.703259258479016
"B134001001",0.230583846593756,0.214747391077326,0.460778957308027,0.231644694405477,0.0416755801155432,0.715810141474766,0.227143612101306,0.132080653275097,0.64077573462362
