"station_id","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"912101A",0.0775057230315649,0.157467981391338,0.663644866981865,0.0615320024045788,0.0312811604528237,0.897480820210217,0.0889331745389523,0.0877268023676067,0.823340023093392
"912105A",0.099444622072982,0.228697113318751,0.600498903508127,0.085943437944197,0.0402242537807727,0.872404151501931,0.0902658061067118,0.158511552419879,0.75122264147341
"915011A",NA,NA,NA,0.117937127411839,0.0400616094119155,0.845252969971879,NA,NA,NA
"915206A",0.0840528945137515,0.167855767918531,0.652159371254685,0.0524947362438885,0.0127580709682637,0.934204158670217,0.0797687198495065,0.077436043076633,0.84279523707386
"917107A",0.115117503356262,0.243719219501425,0.538192249272431,0.0940802992385284,0.0699500012024292,0.822772842979953,0.105185402356344,0.256091227994335,0.638723369649292
"919003A",0.188858278169352,0.242356153646734,0.491815866363495,0.156605361343263,0.04142640728499,0.794912519905453,0.172181704155397,0.177695192269347,0.650123103575175
"919005A",0.136841302074952,0.216410809222851,0.563774442021473,0.108994549085823,0.0285214685890555,0.85802788903924,0.127643824490233,0.119444319703656,0.752911855806109
"919201A",0.179156761325834,0.22818444267602,0.518039674665471,0.133556704606447,0.032333686068196,0.827610738545456,0.16397044629752,0.163217993494116,0.672811560208369
"919309A",0.264318651448579,0.228312507051812,0.448210966376691,0.202998296186804,0.0581174242931344,0.728529410705283,0.247812292257366,0.216957362717005,0.535230345025861
"922101B",NA,NA,NA,0.246879707834748,0.0205657686263033,0.728689308921492,NA,NA,NA
"925001A",0.389569554145855,0.196593701485166,0.338656454803903,0.397415319205751,0.047459454509732,0.551694054694182,0.39436864649794,0.173019565647678,0.432611787854373
"926002A",0.435279345995616,0.212107450265801,0.284193829327226,0.415186546467662,0.0789147867590089,0.489587804619685,0.416559959669442,0.218552337549717,0.364887702780799
"G9030001",NA,NA,NA,0.102058328189975,0.046442483126337,0.847185629355512,NA,NA,NA
"G9030124",0.0915626697444439,0.167350202557762,0.636784875731247,0.0688429519026574,0.0169728028090159,0.911501146888719,0.0945821984382028,0.0675654224372786,0.837852379124567
"G9030250",NA,NA,NA,0.267510133296978,0.0677676805319129,0.666210160492373,NA,NA,NA
"G9070142",NA,NA,NA,0.0900381634985002,0.0384729677821147,0.874768918593307,NA,NA,NA
