"station_id","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas"
"407221",0.132130478900693,0.207077338861988,0.557433598930424,0.102664944679873,0.0553161269780129,0.830721138516038
"407230",0.0474573737705617,0.234867612904084,0.601270968384207,0.0488216553515514,0.02693717904541,0.915357815333013
"407239",0.105590970542639,0.192815834239248,0.610716284857627,0.0602615509812021,0.0384388905737604,0.897138964760692
"407246",0.0606961835904251,0.244140521996449,0.578899678558775,0.0546732352470675,0.0536906098340309,0.887871710367239
"407253",0.0389643290937911,0.170368279316487,0.621599605964882,0.0329369577332438,0.0300852022239719,0.931486916408407
"408200",0.0347817675079445,0.238462909028084,0.609512641626148,0.031246259854881,0.0339001812943237,0.926663279188639
"408202",0.0590312460155767,0.231456921400753,0.585346447505682,0.0559951805731688,0.033983658490149,0.904406671602285
"408206",0.041602960476443,0.230158944196351,0.627368529272422,0.0416778198553954,0.0307960786078282,0.920898889176161
"410024",0.146126954262044,0.310313217101545,0.420714803410356,0.13063236983195,0.123221079554416,0.711210242911045
"410026",0.035816843561096,0.231956167539019,0.614201089988303,0.0280713441672326,0.0291166942605103,0.937516253446265
"410033",0.063698086647676,0.290935850624974,0.530077818249214,0.0664943278152533,0.0828484017134013,0.830388667083802
"410038",0.209178194097797,0.194208242100406,0.527020698943051,0.128778585768216,0.0734567535316114,0.779036340291962
"410044",0.118537551722901,0.213502589612997,0.598490594412212,0.0579169071307831,0.0558331308051022,0.884627582372596
"410047",0.14224162220368,0.28269621712499,0.485304021549699,0.124308731218534,0.0938162166917346,0.766856377593653
"410057",0.271173477387011,0.260551477971116,0.37479517299779,0.18851051681158,0.124871422799715,0.645188776346675
"410061",0.0629868938648311,0.276475351107977,0.560048020764234,0.0584067632648458,0.0828259683421251,0.842120836267211
"410062",0.0254961900908046,0.232051001614062,0.635330647701761,0.0171336089760095,0.0355472579427971,0.946574675352714
"410088",0.114956200682967,0.281945991502345,0.489321259489802,0.116282572343504,0.077741351975912,0.784348139162563
"410091",0.175107064320106,0.170150578876214,0.551018246108765,0.0773014959169288,0.0616934557933073,0.843618010491233
"410141",0.025698474822383,0.225192753771987,0.636543832784354,0.0232650280973313,0.0376637184379744,0.934281650174835
"410156",0.0980987568856124,0.222763490232014,0.567398124849795,0.0678274135731384,0.0485981492025971,0.872155301464526
"410705",0.0179214918319567,0.244261269594158,0.634547163907579,0.0160351103745069,0.0277632189412839,0.948778495048478
"410713",0.0463901146855796,0.227326494558216,0.610591047742538,0.0268117209370204,0.0424626815948132,0.916790804193458
"410730",0.124322445442472,0.31884443931843,0.435389048789148,0.121826689089209,0.143430196706162,0.694948285355669
"410731",0.0420350910716899,0.244710193285066,0.601475614107255,0.0229194536453778,0.0594399895323009,0.907157093299388
"410734",0.0306304027582174,0.243501042218853,0.617330450954643,0.0175654538106159,0.0564323944565271,0.922862385810536
"410761",0.0704774516852675,0.218583805776245,0.593563070721692,0.0255916944693626,0.0485238715861321,0.913781998112943
"411003",0.0550935577408269,0.188162751045066,0.658079153900611,0.028809420973659,0.0203123048072095,0.955540237795431
"412028",0.0557219941642441,0.233260302610037,0.591416186642382,0.0501606389572722,0.062228824717861,0.878500605030069
"412029",0.0465937288988838,0.250191657911164,0.605241938706819,0.0396198167824884,0.0547855548912833,0.891729036878263
"412050",0.0957672903274455,0.188190219934489,0.576704908914378,0.070359364366295,0.0394549916303201,0.874867123727503
"412066",0.0548068083811751,0.241201776645159,0.600676409289062,0.0406465176750942,0.0509219897961852,0.896679713796362
"415201",0.0470318677633688,0.265355459588553,0.580120733727862,0.0464930492750462,0.0448346752206978,0.900779752107275
"415206",0.0714603106991351,0.271947975825528,0.541529461830424,0.067755209247222,0.0499813989411074,0.873852240469563
"415207",0.0801495616114895,0.259825811293228,0.549273217021888,0.0591077527470124,0.0405664120330506,0.891400545369725
"415220",0.0505330193750098,0.215979364053205,0.631497679882234,0.0341019894599799,0.0337602191230605,0.922748440534398
