"","ID","lat","lon","area","elevation","mdl","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Beta_p","Gamma","Gamma_p","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","CoV","QCI","geometry"
"1",0,47.2580604553223,-68.595832824707,14703.9208984375,362.299987792969,"lstm-arsenault2022",0.970915597410009,0.949964240788905,0.541789623000936,0.639837293115296,0.936526093580699,0.977880998384996,0.954545454545455,0.43658357771261,0.934157754010695,0.985589926884679,0.985589926884679,0.970659834099693,0.962117528359618,0.962117528359618,0.624841758315285,0.939505347593583,0.917446524064171,0.940173796791444,0.975267379679144,0.984625668449198,0.914438502673797,0.920788770053476,0.953208556149733,0.926136363636364,0.968917112299465,0.97192513368984,0.961191749427043,0.986436950146628,0.761276178797676,0.771627565982405,0.722873900293255,0.787023460410557,0.838343108504399,0.968830281494923,0.973607038123167,0.967741935483871,0.984604105571847,0.980571847507331,0.686204470094835,0.899485084797789,0.620480185661406,0.257318326270349,0.573680351906158,0.306592129033726,0.842732780008584,0.974048605654346,0.922653958944281,0.981304985337243,-0.197757459198323,-0.232538838387418,-0.0153070577451879,0.960777126099707,1.04564918538294,NA,c(-68.595832824707, 47.2580604553223)
"2",1,47.2066116333008,-68.9569396972656,1358.6435546875,353.399993896484,"lstm-arsenault2022",0.845408731030161,0.875795145642415,0.613511701154665,0.703035155358477,0.600010480442246,0.869776285520124,0.866666666666667,0.537535014005602,0.917374517374517,0.92615707633703,0.92615707633703,0.949599251832517,1.08621967904749,0.913780320952513,0.804686871125684,0.901930501930502,0.943629343629344,0.886229086229086,0.918146718146718,0.962676962676963,0.89034749034749,0.805148005148005,0.871299871299871,0.803603603603604,0.917889317889318,0.895495495495496,0.925557136083452,0.928851540616247,0.73035439853655,0.73921568627451,0.782633053221289,0.706162464985994,0.743977591036415,0.864387817623044,0.843977591036415,0.887955182072829,0.936694677871149,0.912605042016807,0.434861909187849,0.794506237611354,0.561755230682633,0.490432813511992,0.35899951749356,0.391986550854581,0.753224064356649,0.890423662452851,0.851260504201681,0.855182072829132,0.352406560665417,0.293859965620991,0.433183919316431,0.825770308123249,1.12977292985531,NA,c(-68.9569396972656, 47.2066116333008)
"3",2,46.2162208557129,-67.7279434204102,1206.82727050781,182.5,"lstm-arsenault2022",0.814570234839349,0.862614660511416,0.327028018326408,0.417187871235707,0.724461388868654,0.899810319995083,0.900280112044818,0.579271708683473,0.794594594594595,0.90259205054865,0.90259205054865,0.990324639633161,0.903600776497688,0.903600776497688,0.711353589133202,0.843758043758044,0.867438867438868,0.891377091377091,0.897297297297297,0.938738738738739,0.810553410553411,0.842213642213642,0.720720720720721,0.744144144144144,0.924581724581725,0.91943371943372,0.931484115694642,0.935294117647059,0.627574666624146,0.628291316526611,0.571988795518207,0.428571428571429,0.642857142857143,0.765987269134501,0.74865186821312,0.678711484593838,0.938655462184874,0.933333333333333,0.534155410103611,0.565208384624801,0.606727419076409,0.400001501228192,0.465858954850671,0.643507500359975,0.783075183699975,0.917665215427271,0.956582633053221,0.97703081232493,0.0306001072751223,0.0296113100825512,0.426069903685757,0.955742296918768,0.898049319496084,NA,c(-67.7279434204102, 46.2162208557129)
"4",3,46.125919342041,-66.6113128662109,1455.54956054688,228.5,"lstm-arsenault2022",0.785300697253041,0.869787422309725,0.311746833736143,0.39913564731263,0.688051848838645,0.926383824820641,0.853221288515406,0.630252100840336,0.776576576576577,0.888262733131603,0.888262733131603,0.985466323511075,0.934739975258649,0.934739975258649,0.828264593484708,0.714543114543115,0.794337194337195,0.901415701415702,0.842471042471043,0.911196911196911,0.822393822393823,0.803346203346204,0.801801801801802,0.725096525096525,0.901415701415702,0.922007722007722,0.966097676623992,0.934173669467787,0.396258642852788,0.509902482845956,0.539598063008425,0.632212885154062,0.743137254901961,0.638324701597825,0.684033613445378,0.662931579467296,0.851540616246499,0.898319327731093,0.357227945660141,0.513149691949299,0.500000791531875,0.411858527368451,0.2762098192921,0.572309417040359,0.842333825698654,0.878180435760125,0.977591036414566,0.989915966386555,0.257933384213851,0.203133830794754,0.301688539049728,0.966666666666667,0.849930794458484,NA,c(-66.6113128662109, 46.125919342041)
"5",4,45.6737785339355,-66.6828918457031,564.8203125,119.900001525879,"lstm-arsenault2022",0.607568420508815,0.595797521826141,0.241102314340064,0.309885287877052,0.482892639012429,0.743404551583326,0.792997198879552,0.221008403361345,0.71969111969112,0.79124579414224,0.79124579414224,0.997936411738219,0.65388287170082,0.65388287170082,0.219749582181322,0.687258687258687,0.859202059202059,0.877477477477478,0.865379665379666,0.846846846846847,0.729214929214929,0.699099099099099,0.744401544401544,0.776576576576577,0.904761904761905,0.875418275418276,0.89900426742532,0.93109243697479,0.597519274893731,0.570988315470414,0.566386554621849,0.646218487394958,0.672829131652661,0.626514463333449,0.700560224089636,0.715686274509804,0.798599439775911,0.861624649859944,0.423925994453346,-0.142827116484696,0.394675445756375,0.17241505861402,0.404846957636639,0.518920485246722,0.643160246956644,0.831803211798109,0.912044817927171,0.904201680672269,0.338946602177053,0.191882217434771,-0.0455245832749685,0.892717086834734,0.820630472569855,NA,c(-66.6828918457031, 45.6737785339355)
"6",5,46.2907218933105,-65.7227478027344,1053.83093261719,78.3000030517578,"lstm-arsenault2022",0.722335851225194,0.838189759296159,0.33760406263181,0.429464849666164,0.580818460514701,0.817869182678606,0.831932773109244,0.458823529411765,0.802316602316603,0.888688067587828,0.888688067587828,0.883797125919142,1.01700293370719,0.982997066292814,0.795381938473815,0.816473616473617,0.813384813384813,0.866666666666667,0.89034749034749,0.892149292149292,0.871557271557272,0.824453024453025,0.841143179269596,0.832432432432433,0.938223938223938,0.931016731016731,0.903745851114272,0.917366946778712,0.281999444914232,0.40201533925213,0.577119286545482,0.77165952370353,0.747058823529412,0.65026990718353,0.726852507481043,0.801960784313726,0.927170868347339,0.880112044817927,0.380098111651881,0.0406932043256032,0.52087886394399,0.444119527159944,0.466386554621849,0.516775234159709,0.688156999705137,0.863289206938301,0.930252100840336,0.938935574229692,0.419079430871317,0.462721918106727,0.205771116402858,0.872829131652661,0.871239175720177,NA,c(-65.7227478027344, 46.2907218933105)
"7",6,46.0723609924316,-65.3663864135742,669.195922851562,85.5,"lstm-arsenault2022",0.656310691911071,0.761370620668766,0.236564568969437,0.303762928425933,0.549812211852701,0.833473934066468,0.781512605042017,0.102240896358543,0.773745173745174,0.81571445880343,0.81571445880343,0.850898110956009,0.972587472400179,0.972587472400179,0.707159063031099,0.802831402831403,0.784041184041184,0.82960102960103,0.833719433719434,0.763963963963964,0.716344916344916,0.637837837837838,0.85945945945946,0.848133848133848,0.793822393822394,0.791763191763192,0.929113323850166,0.694677871148459,0.578940353000835,0.642481968099828,0.707563025210084,0.819607843137255,0.850980392156863,0.624877439944678,0.682072829131653,0.690756302521009,0.840056022408964,0.796078431372549,0.58953863413266,0.530533560077418,0.467484134105533,0.100662426042218,0.46780184622728,0.203754290616779,0.740035071664919,0.678255999936006,0.950140056022409,0.9703081232493,0.302739339169726,0.247824529534419,0.133478140324054,0.933613445378151,0.833492935914288,NA,c(-65.3663864135742, 46.0723609924316)
"8",7,45.7013893127441,-65.601692199707,1103.43762207031,143.800003051758,"lstm-arsenault2022",0.752093735987293,0.877746911473119,0.23980528529043,0.308141357275548,0.673891097615144,0.838502780907631,0.754901960784314,0.59327731092437,0.827799227799228,0.878714210617475,0.878714210617475,0.98563148295099,1.00539635673686,0.994603643263139,-10.2353558841124,0.873101673101673,0.894465894465895,0.853281853281853,0.938996138996139,0.904761904761905,0.683912483912484,0.569369369369369,0.656370656370657,0.773745173745174,0.881338481338481,0.887001287001287,0.938359412043622,0.904201680672269,0.462282002220895,0.448459383753501,0.524089635854342,0.580672268907563,0.606162464985994,0.501575741828098,0.696638655462185,0.749019607843137,0.907843137254902,0.847058823529412,0.553552707529983,0.357408338354552,0.588792270709785,0.35907738019606,0.559400397756329,0.457519096743467,0.711743301496585,0.840415221263528,0.935854341736695,0.960224089635854,0.191592473850649,0.11077444797732,0.162743449628696,0.950700280112045,0.675559235487379,NA,c(-65.601692199707, 45.7013893127441)
"9",8,47.6670799255371,-67.4830780029297,3167.70288085938,346.399993896484,"lstm-arsenault2022",0.958794047810678,0.926583522053085,0.577576913761818,0.671307403514558,0.902453361258557,0.941598658352628,0.948179271708684,0.701960784313726,0.898326898326898,0.980316643391112,0.980316643391112,0.936826348482832,1.03180620160794,0.968193798392064,0.846909353238998,0.852509652509653,0.893693693693694,0.84015444015444,0.976833976833977,0.968854568854569,0.927155727155727,0.910424710424711,0.855083655083655,0.816473616473617,0.94954954954955,0.967567567567568,0.917496443812233,0.973109243697479,0.489441023061048,0.485362095531587,0.480112044817927,0.498039215686275,0.755742296918768,0.923874223149436,0.920728291316527,0.948179271708684,0.96890756302521,0.972268907563025,0.75475160967543,0.756827048204157,0.45308240055248,0.283601890261056,0.291908932415025,0.568326691821264,0.866699364066999,0.953385672227674,0.925210084033613,0.980672268907563,0.341858670357847,0.229956123806262,0.391325676488105,0.960504201680672,1.0856282047132,NA,c(-67.4830780029297, 47.6670799255371)
"10",9,47.8324699401855,-66.887077331543,2270.32299804688,307.600006103516,"lstm-arsenault2022",0.880182843788818,0.881224225875567,0.607261803868497,0.697580397917861,0.694918504511684,0.872968982957135,0.887675070028011,0.566386554621849,0.78970398970399,0.959311198720023,0.959311198720023,0.894696085970563,1.03692142547814,0.963078574521859,0.836841466702027,0.926126126126126,0.777606177606178,0.842471042471043,0.879021879021879,0.977091377091377,0.883655083655084,0.866078900049418,0.781467181467182,0.831145431145431,0.837837837837838,0.870527670527671,0.926268373636795,0.905882352941177,0.402549199110291,0.407002801120448,0.401120448179272,0.48515406162465,0.756022408963586,0.904265006769673,0.90672268907563,0.894677871148459,0.971988795518207,0.934173669467787,0.765979882697852,0.666853879999946,0.56926918590457,0.23795554209164,0.273166632315379,0.471634687355689,0.844741822293302,0.831196183031783,0.925770308123249,0.968067226890756,0.262601105935065,0.12811287509834,0.493379118303991,0.94873949579832,1.15935500274533,NA,c(-66.887077331543, 47.8324699401855)
"11",10,48.6283302307129,-66.1680603027344,1680,479.200012207031,"lstm-arsenault2022",0.825569462127733,0.774256628552167,0.583991646963135,0.678754697292203,0.580704241636201,0.881282584612949,0.795652173913043,0.516521739130435,0.744615384615385,0.919912184968257,0.919912184968257,0.811129227590177,1.09420107730484,0.90579892269516,-182.449928854986,0.886446886446886,0.726612903225807,0.654017094017094,0.806451612903226,0.846743295019157,0.753694581280788,0.883467741935484,0.708870967741936,0.746384872080089,0.84004884004884,0.822983870967742,0.865469208211144,0.778260869565217,0.473043478260869,0.471304347826087,0.453043478260869,0.580869565217391,0.768695652173913,0.52695652173913,0.522608695652174,0.654782608695652,0.761739130434783,0.811304347826087,0.419010256305575,0.660859523930667,0.432240894320796,0.203531621064018,0.540552306755482,0.252773553946773,0.512859682555731,0.752616662879678,0.795652173913043,0.928695652173913,-0.0400525365392157,-0.137130500759949,0.0456720356385483,0.881739130434783,1.05189932086051,NA,c(-66.1680603027344, 48.6283302307129)
"12",11,48.1861114501953,-65.5586090087891,1910,420.700012207031,"lstm-arsenault2022",0.844191559805471,0.902506172578357,0.484277985056259,0.587005873563139,0.69788289877149,0.901344731518083,0.904150197628459,0.743083003952569,0.843873517786561,0.919085358029036,0.919085358029036,0.967440477514125,0.956436889510462,0.956436889510462,0.675877711150909,0.727716727716728,0.789162561576355,0.836923076923077,0.854505005561735,0.92979242979243,0.770411568409344,0.851835372636263,0.848768472906404,0.871412680756396,0.911877394636015,0.882536151279199,0.860289210233593,0.965415019762846,0.566205533596838,0.546442687747036,0.568181818181818,0.75,0.880293619424054,0.864557693367322,0.850790513833992,0.910079051383399,0.91897233201581,0.882552230378317,0.544802046956436,0.420517472036111,0.390979231734801,0.231901866536008,-0.0212608164717025,0.634049932872695,0.864885591523437,0.901039089559624,0.936758893280632,0.952569169960474,-0.256437693209905,-0.163877105348092,0.0148221343873518,0.905138339920948,1.06404589993734,NA,c(-65.5586090087891, 48.1861114501953)
"13",12,47.8938102722168,-66.0252227783203,500.840087890625,288.299987792969,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-66.0252227783203, 47.8938102722168)
"14",13,47.9086685180664,-66.9480590820312,7821.0703125,326.700012207031,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-66.9480590820312, 47.9086685180664)
"15",14,46.7360000610352,-65.8256072998047,5127.25146484375,228.699996948242,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-65.8256072998047, 46.7360000610352)
"16",15,46.9359703063965,-65.9073867797852,1326.35595703125,372.799987792969,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-65.9073867797852, 46.9359703063965)
"17",16,47.0947494506836,-65.8365020751953,972.679382324219,246.899993896484,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-65.8365020751953, 47.0947494506836)
"18",17,44.3331413269043,-65.205078125,721.033386230469,148.899993896484,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-65.205078125, 44.3331413269043)
"19",18,44.4474411010742,-64.5911865234375,1251.05139160156,173.300003051758,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-64.5911865234375, 44.4474411010742)
"20",19,45.174388885498,-61.9799194335938,1341.50622558594,139.5,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-61.9799194335938, 45.174388885498)
"21",20,47.0035285949707,-84.5155563354492,1227.63806152344,437.700012207031,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5155563354492, 47.0035285949707)
"22",21,46.8609390258789,-83.971809387207,1138.6728515625,480.600006103516,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.971809387207, 46.8609390258789)
"23",22,46.9684181213379,-83.416862487793,1451.66381835938,485.299987792969,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.416862487793, 46.9684181213379)
"24",23,46.9702491760254,-80.4587783813477,955.996398925781,386.200012207031,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-80.4587783813477, 46.9702491760254)
"25",24,45.3119697570801,-78.989387512207,604.900207519531,455.799987792969,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.989387512207, 45.3119697570801)
"26",25,44.7136688232422,-79.281608581543,1510.27001953125,298.100006103516,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-79.281608581543, 44.7136688232422)
"27",26,44.2498092651367,-79.821418762207,1230.57775878906,317.399993896484,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-79.821418762207, 44.2498092651367)
"28",27,43.8128890991211,-81.3068923950195,644.821105957031,365.700012207031,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-81.3068923950195, 43.8128890991211)
"29",28,43.1897201538086,-80.4550323486328,1034.28454589844,354,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-80.4550323486328, 43.1897201538086)
"30",29,43.3772201538086,-80.710807800293,544.244018554688,380.899993896484,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-80.710807800293, 43.3772201538086)
"31",30,42.830810546875,-81.8517227172852,701.179016113281,237.399993896484,"lstm-arsenault2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-81.8517227172852, 42.830810546875)
