"","ID","mdl","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Beta_p","Gamma","Gamma_p","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","CoV","QCI","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"1","CHFO-0098","prevah-Kraft2025",0.829880609192714,0.883718908311266,0.368579506202691,0.461592788374073,0.73057670367301,0.797598869536506,0.748780487804878,0.762891986062718,0.797040169133192,0.917640577781553,0.917640577781553,0.921276149608415,1.02325453150874,0.976745468491262,0.889403555663272,0.893687707641196,0.882505469572968,0.899197795964671,0.939064905599222,0.935175431488534,0.901628717283851,0.87018880155579,0.861113361964184,0.8640304675472,0.934851308645977,0.876833319828215,0.846527834049105,0.898954703832753,0.76945197365978,0.767173417710515,0.799477351916376,0.825261324041812,0.761498257839721,0.831482208201924,0.888501742160279,0.901742160278746,0.891114982578397,0.871777003484321,0.613483833934976,0.42984099365553,0.19563784841527,0.333838835752961,0.780536678863913,0.627466353659346,0.837422148852632,0.842683406057553,0.840592334494774,0.935365853658537,0.40501607924942,0.340619104067165,0.339273271098592,0.902961672473868,0.46270489660695,10.0257251837788,0.401843768837382,0.162124317836832,0.363288411659283,0.407013881729011,0.035095714738888,0.554539417192022,0.398284051334188,0.131219290978959,0.470496657686851
"2","CHFO-0105","prevah-Kraft2025",0.903197753661914,0.91521019076982,0.823143987183975,0.872104976114955,0.452649390898656,0.840128043904753,0.800522648083624,0.582578397212544,0.318030806402899,0.950942739483569,0.950942739483569,0.986312573066355,0.932210979621701,0.932210979621701,0.686961305357335,0.354833481889636,0.437484806741755,0.8131431812657,0.675715096021392,0.812981119844421,0.82286686654242,0.797585284822948,0.793533749290981,0.852362045215137,0.780244712746131,0.613807633092942,0.383194230613402,0.549128919860627,0.370594225575979,0.395029665684055,0.396828857332659,0.408885017421603,0.456794425087108,0.542857142857143,0.552090592334495,0.629094076655052,0.629442508710802,0.511846689895471,0.277722091861692,0.511780229411424,0.332427340193216,0.128490681896826,0.533432069156164,0.504618744048016,0.5073677041653,0.627251717325159,0.8,0.854529616724739,-0.14171888796145,-0.00170768364614862,-0.0309260388535587,0.798780487804878,1.23302121644601,20.5729868132683,0.828943017863462,0.0517707446305044,0.0966596487943206,0.834361840751167,0.00975870570006869,0.156911398787688,0.831467604655715,0.0340874252918216,0.134444970052463
"3","CHFO-0112","prevah-Kraft2025",0.805123127234832,0.758020255566041,0.582756041061526,0.674447657588503,0.532942614050155,0.79583740886079,0.765505226480836,0.449825783972126,0.79975838115373,0.911200599460337,0.911200599460337,0.843657014270478,0.838056386376927,0.838056386376927,0.318830342977289,0.459687221456932,0.503929989466008,0.744267077222267,0.851551738108743,0.907138805607325,0.864354590389758,0.84344866704481,0.888825865002836,0.872457661453691,0.839721254355401,0.788996029495179,0.630986143748481,0.804355400696864,0.30035311305272,0.254573971454835,0.251219512195122,0.31794425087108,0.412369337979094,0.764285714285714,0.775609756097561,0.776166210065914,0.881881533101045,0.877700348432056,0.337112512193807,0.596400246316697,0.642270579216002,-0.287838421084433,0.729300057314459,0.487080388367706,0.428462298305908,0.834059613038173,0.894599303135889,0.918118466898955,0.0140480277877317,0.0100643257871309,0.00958271626448297,0.856968641114983,0.822297572121385,13.689409111133,0.60246747961361,0.121494085199376,0.226871101797301,0.607615374369623,0.0343856377581638,0.358472569642918,0.602382311280927,0.126251572166291,0.27136611655278
"4","CHFO-0126","prevah-Kraft2025",0.77782267030173,0.777914652507371,0.773060835260216,0.83350680967551,0.0209828702197511,0.729519944565136,0.495121951219512,0.634668989547038,0.250679553005134,0.913115353650585,0.913115353650585,0.806112088010166,0.935343698034288,0.935343698034288,0.819951989912277,0.596467061016125,0.572644032088161,0.845393404100154,0.790292520865408,0.847338141155498,0.645733733084839,0.591443156956487,0.490154768657321,0.620938335629204,0.426626691516085,0.480269021959323,0.691921238149259,0.545993031358885,0.254521701863318,0.255664009953396,0.280872938757518,0.479094076655052,0.661672473867596,0.248028923875159,0.23588850174216,0.312717770034843,0.54198606271777,0.577003484320558,0.581490693624764,0.341250817495588,0.330785986397277,0.142260659488473,0.370365529911903,0.494751056792072,0.626345858562435,0.608217362092377,0.598780487804878,0.614285714285714,0.0997594161451559,0.0711720666603083,0.245086522532888,0.556271777003484,0.981549945374801,16.1548539200753,0.776553478316,0.0576729145324645,0.132939503975391,0.783927205053482,0.0103017428427936,0.206366973677726,0.783739645928392,0.0318819953795867,0.184378358692021
"5","CHFO-0135","prevah-Kraft2025",0.832220733731013,0.875392646366907,0.72520535626994,0.795478196372807,0.389437639716872,0.771261898193534,0.802439024390244,0.695296167247387,0.0998187858652975,0.913130236285764,0.913130236285764,0.963487458903135,0.918467975161135,0.918467975161135,0.65899175587794,0.457580422980309,0.223887853496475,0.452556518920671,0.772627825946034,0.767765983307674,0.802609188882586,0.608783729033304,0.57037517219026,0.640871890446479,0.768738351835346,0.792561380763309,0.700348432055749,0.514982578397213,0.341703217028652,0.349669430349004,0.352028644106414,0.356794425087108,0.472996515679443,0.270133716881526,0.171777003484321,0.319512195121951,0.462020905923345,0.312369337979094,0.304713745499267,0.145141612200436,0.187153758547156,0.187397436102012,0.318132323138128,0.0530649612966264,0.593323751093964,0.518187371127062,0.733275261324042,0.713066202090592,0.107880278757528,0.318805065700533,0.029616724738676,0.564634146341464,1.11645041341552,18.4204588553739,0.736717646295285,0.0696250779866854,0.163538413500944,0.740962984377227,0.0106324888228682,0.246663678068206,0.738135585805377,0.0386829480948166,0.223181466099805
"6","CHFO-0137","prevah-Kraft2025",0.709723886966904,0.728467681399064,0.657842174925585,0.73982668090998,0.15163093823745,0.70434218829829,0.892682926829268,0.459059233449477,0.594986408939897,0.894119376857687,0.894119376857687,0.955059814726264,1.2459664071278,0.754033592872201,0.528353958523431,0.511222753423548,0.353374929098128,0.564019450798485,0.679928692974637,0.765497123409772,0.736001944737055,0.789806336601572,0.67231180617454,0.740863787375415,0.860303054857791,0.860789239121627,0.601004780811928,0.681881533101045,0.391467606672147,0.446555456762625,0.447382176147748,0.506445993031359,0.504006968641115,0.552114639663048,0.640766550522648,0.662543554006969,0.755574912891986,0.652787456445993,-0.137029929666904,0.285054265188172,0.312957860192268,-0.0202309392641486,0.39636696288552,-0.0592411901071684,0.618306975709885,0.621033823837812,0.733275261324042,0.908188153310105,0.0979843515790016,0.298563353698756,0.103859895277406,0.84198606271777,0.788049153456201,13.1989990993011,0.677878049569744,0.103738102019929,0.186487433674698,0.679778986967859,0.0296591267732047,0.289236662081117,0.673940648963721,0.0916406680224646,0.234418683013814
"7","CHFO-0149","prevah-Kraft2025",0.683923856609712,0.62756453826261,0.0982127963894932,0.0758086628669524,0.649500301041302,0.781232726102117,0.804703832752613,0.790592334494774,0.616732105104198,0.849765222297626,0.849765222297626,0.992665708798815,0.659289135921912,0.659289135921912,0.318220753239503,0.803743618831537,0.789482213759015,0.767603921886395,0.931123895956568,0.91135240256057,0.863706344704643,0.88590875941982,0.856413580747103,0.839073008670286,0.873267968560084,0.804878048780488,0.735191637630662,0.671602787456446,0.636312148697732,0.62581122930567,0.636613093508608,0.625261324041812,0.445470383275261,0.374390243902439,0.712543554006969,0.825609756097561,0.800696864111498,0.848780487804878,0.309877567894979,0.415377916855975,0.437399047938878,0.156516756710337,0.828817844420375,0.503944765255768,0.625451822902923,0.735127399947566,0.759407665505227,0.897038327526133,0.648079421968204,0.616260377428123,0.533002226484406,0.882752613240418,0.498640809233194,10.0251364571191,0.141877553755412,0.19488990111963,0.565900419616419,0.144390208729037,0.0118674343605018,0.844547176142537,0.140639366834716,0.0601148825715364,0.799245750593745
"8","CHFO-0169","prevah-Kraft2025",0.781346297704765,0.835714436534876,0.686141130752648,0.763524885555056,0.30333750701525,0.81089505159214,0.804355400696864,0.783623693379791,0.89806704922984,0.895885124085615,0.895885124085615,0.921614010277103,1.100027374211,0.899972625789001,0.693742633372568,0.535856089457905,0.450773843286606,0.849607001053399,0.892832543984743,0.955271047727089,0.899197795964671,0.852686168057694,0.866785511708938,0.884936390892148,0.951543635037679,0.903573454339195,0.781217081273803,0.961672473867596,0.588076462634628,0.582295033673577,0.593928307545387,0.562369337979094,0.67822299651568,0.785888501742161,0.755226480836237,0.815679442508711,0.800174216027875,0.913588850174216,0.477459081741597,0.39558906893698,0.302408998034187,0.0809977690723852,0.554340724488106,0.204565256047324,0.731630796438558,0.881798994968302,0.675435540069687,0.853135888501742,0.210611993462953,0.157355347032013,0.415290786715128,0.790243902439025,0.765723490389769,12.9963490834074,0.703693006278899,0.0899396836111006,0.175911586907264,0.70503734816599,0.0235759700963967,0.269596951252752,0.700906340364425,0.09100521463224,0.208088445003335
"9","CHFO-0187","prevah-Kraft2025",0.732234651294324,0.791289411973896,0.0176798258361823,-0.122244211934167,0.727415403095425,0.922030382161553,0.785540069686411,0.540243902439025,0.519933554817276,0.863933695253014,0.863933695253014,0.884033586439855,0.892306633478659,0.892306633478659,0.401370792021056,0.884612268049591,0.896118628960376,0.940361396969451,0.930475650271453,0.955271047727089,0.944088809658861,0.960294951786727,0.903249331496637,0.870872331657654,0.953812494935581,0.945547362450369,0.869864678713232,0.929616724738676,0.800767119271727,0.790521410341832,0.780313588850174,0.843205574912892,0.837804878048781,0.679616724738676,0.823519163763066,0.78623693379791,0.812020905923345,0.878919860627178,0.452097768859628,0.348204970611374,0.595318524050546,0.445409411333045,0.736246025876,0.395851490325954,0.866983272723402,0.90264101403631,0.855923344947735,0.969512195121951,0.410393536707141,0.349541534218012,0.318595638038537,0.95191637630662,0.318212811460328,8.8963906520723,0.0651288558146573,0.237183743661756,0.587960439512523,0.0641519447111992,0.0367036494451852,0.892196413760982,0.0638664032914408,0.110360771790687,0.82577282491787
"10","CHFO-0189","prevah-Kraft2025",0.330883174135326,0.522215919433427,0.00162587789056168,-0.178835975573451,0.329793500205199,0.920800278964345,0.868815331010453,0.678048780487805,0.803986710963455,0.872311782671736,0.872311782671736,0.954616144189176,1.45816334688637,0.541836653113632,0.651072742002899,0.955757231990925,0.948827033719129,0.97212543554007,0.964184425897415,0.96969451422089,0.979580260918888,0.968560084271939,0.936147800016206,0.956729600518597,0.896604813224212,0.952840126407909,0.970666882748562,0.968466898954704,0.848095402831843,0.869985627376911,0.883797909407666,0.902961672473868,0.905400696864112,0.859059233449478,0.858661092325445,0.916376306620209,0.947735191637631,0.94006968641115,0.626241507865489,0.851945449808727,0.540511070878234,0.600648909953958,0.723035374760113,0.815960274329028,0.917011545195997,0.94059710230636,0.856271777003484,0.915679442508711,0.381089421366056,0.39610178107783,0.0937608937208386,0.873693379790941,0.143106670038064,8.46256112853224,0.0499141771773111,0.29999070165058,0.525574955524384,0.0476189234063108,0.0899339973501411,0.841774472804215,0.0486142629319789,0.290330182340385,0.661055554727634
