"","gauge_id","elev_mean","slope_mean","area_gages2","area_geospa_fabric","huc_02","gauge_name","mdl","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Beta_p","Gamma","Gamma_p","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","CoV","QCI"
"1","01013500",250.31,21.64152,2252.7,"2303.95","01","Fish River near Fort Kent, Maine","q_sim_fuse_900",0.809141629765224,0.776024086947121,0.701478421285188,0.794013474958741,0.360654693518456,0.349693251533742,0.636363636363636,0.624242424242424,0.806060606060606,0.92211375579332,0.92211375579332,0.792083257780958,1.02948848752087,0.970511512479126,0.307349600312041,0.551515151515151,0.818181818181818,0.527272727272727,0.709090909090909,0.903030303030303,0.781818181818182,0.903030303030303,0.76969696969697,0.915151515151515,0.915151515151515,0.975757575757576,0.721212121212121,0.927272727272727,-0.401217658828843,-0.35,-0.233333333333333,-0.233333333333333,-0.35,0.551515151515151,0.716666666666667,0.866666666666667,0.716666666666667,0.85,-0.317994415327175,0.57563025210084,0.28593138470052,0.246932399162397,-0.0303030303030303,-0.65653798717447,0.754658036542014,0.781818181818182,0.8,0.933333333333333,0.139241745823903,0.282608695652174,0.25,0.883333333333333,1.05065617648995,15.184357123951
"2","01022500",92.68,17.79072,573.6,"620.38","01","Narraguagus River at Cherryfield, Maine","q_sim_fuse_900",0.675936013884743,0.787859977798215,0.183680597453715,0.313816270969954,0.603018150610622,0.437691991449646,0.781818181818182,0.587878787878788,0.781818181818182,0.829575863388843,0.829575863388843,0.879280789392275,0.962772659638871,0.962772659638871,0.365688149811499,0.260606060606061,0.733333333333333,0.927272727272727,0.406060606060606,0.842424242424242,0.793939393939394,0.842424242424242,0.660606060606061,0.83030303030303,0.842424242424242,0.83030303030303,0.975757575757576,0.854545454545454,0.571431211059261,0.45,0.483333333333333,0.3,0.483333333333333,0.648484848484848,0.633333333333333,0.883333333333333,0.75,0.933333333333333,0.594147460216563,-0.0666666666666667,0.404761904761905,0.179723658087084,0.601826488243264,0.721212121212121,0.733333333333333,0.915151515151515,0.5,0.933333333333333,-0.0170226637412049,0.0548528089609313,-0.0166666666666667,0.95,0.643249719861013,11.1275173765099
"3","01030500",143.8,12.79195,3676.17,"3676.09","01","Mattawamkeag River near Mattawamkeag, Maine","q_sim_fuse_900",0.8285396384877,0.827124308101866,0.431683650244542,0.57230826619408,0.698301198643892,0.346750887824664,0.890909090909091,0.0787878787878788,0.927272727272727,0.916666151270185,0.916666151270185,0.863924107081283,1.06651936463549,0.933480635364515,0.0224667143163106,0.575757575757576,0.866666666666667,0.890909090909091,0.793939393939394,0.854545454545454,0.903030303030303,0.963636363636364,0.927272727272727,0.890909090909091,0.818181818181818,0.939393939393939,0.842424242424242,0.987878787878788,-0.381818181818182,-0.75,-0.85,-0.716666666666667,-0.3,0.696969696969697,0.75,0.716666666666667,0.65,0.783333333333333,-0.366666666666667,0.649794813844879,0.500156323280355,0.35218036253025,0.393939393939394,0.381818181818182,0.480245379507251,0.854545454545454,0.933333333333333,0.916666666666667,0.170226637412049,0.425454965495158,0.783333333333333,0.9,0.92490977620943,14.7242314115597
"4","01031500",247.8,29.56035,769.05,"766.53","01","Piscataquis River near Dover-Foxcroft, Maine","q_sim_fuse_900",0.692935705013937,0.815021872093468,0.172314320396334,0.299836915025121,0.629008568647582,0.463423249322519,0.854545454545454,0.284848484848485,0.854545454545454,0.837277455296177,0.837277455296177,0.912169700438918,0.995088816035989,0.995088816035989,0.260570264242439,0.575757575757576,0.272727272727273,0.757575757575757,0.781818181818182,0.587878787878788,0.757575757575757,0.951515151515151,0.842424242424242,0.951515151515151,0.951515151515151,0.854545454545454,0.963636363636364,0.915151515151515,0.263823541230135,0.309626141239618,0.316666666666667,0.133333333333333,0.483333333333333,0.745454545454545,0.5,0.683333333333333,0.766666666666667,1,-0.175733755838702,0.483333333333333,0.550688791753935,0.0540738070435875,0.571431211059261,0.418181818181818,0.696969696969697,0.85106776115209,0.666666666666667,0.95,-0.189075630252101,-0.0255321460594083,-0.183333333333333,0.9,0.90097569992954,13.6180303968756
"5","01047000",310.38,49.92122,909.1,"904.94","01","Carrabassett River near North Anson, Maine","q_sim_fuse_900",0.695059348518991,0.726293340537937,0.129954083634311,0.245599151047685,0.649512001901243,0.644171779141104,0.745454545454545,0.0545454545454545,0.866666666666667,0.845804364968297,0.845804364968297,0.815804835817557,1.13119139858563,0.868808601414366,-0.868153111896577,0.406060606060606,0.648484848484848,0.551515151515151,0.757575757575757,0.927272727272727,0.83030303030303,0.987878787878788,0.83030303030303,0.709090909090909,0.975757575757576,0.951515151515151,0.975757575757576,0.903030303030303,0.442424242424242,0.166666666666667,-0.316666666666667,-0.483333333333333,0.0666666666666667,0.878787878787879,0.75,0.5,0.75,0.933333333333333,-0.125524111313358,0.433333333333333,0.30952380952381,0.20056488422556,0.620063654553666,-0.139393939393939,0.733333333333333,0.86890243902439,0.816666666666667,0.883333333333333,-0.0928278305492684,-0.248947363745765,-0.116666666666667,0.883333333333333,0.835292124948691,12.6283276885
"6","01052500",615.7,60.05183,383.82,"396.1","01","Diamond River near Wentworth Location, NH","q_sim_fuse_900",0.757661327419505,0.653112720813637,0.165893957434472,0.291841951300297,0.709462993655922,0.756111617315689,0.721212121212121,-0.345454545454545,0.721212121212121,0.884770564938302,0.884770564938302,0.753883165570436,1.21559096819452,0.784409031805481,-2.75211803282234,0.393939393939394,0.527272727272727,0.793939393939394,0.878787878787879,0.793939393939394,0.806060606060606,0.951515151515151,0.660606060606061,0.83030303030303,0.963636363636364,0.696969696969697,0.83030303030303,0.76969696969697,0.528877823001656,0.0333333333333333,-0.35,-0.666666666666667,-0.283333333333333,0.866666666666667,0.866666666666667,0.9,0.866666666666667,0.866666666666667,0.476991622990762,0.945614971893967,0.357244131172156,0.1,0.357575757575757,0.345454545454545,0.291794660966431,0.828750052614306,0.8,0.9,0.408943102829854,0.199152542372881,-0.166666666666667,0.866666666666667,0.903163446472774,12.9614015727163
"7","01054200",472.31,90.13951,180.98,"181.33","01","Wild River at Gilead, Maine","q_sim_fuse_900",0.590716385518209,0.699969212221057,-0.00691120353930752,0.0343909595987233,0.593525612742064,0.272727272727273,0.648484848484848,-0.187878787878788,0.575757575757576,0.771228041456228,0.771228041456228,0.882523257004545,0.845464957195851,0.845464957195851,-0.243103167542702,0.115151515151515,0.478787878787879,0.6,0.757575757575757,0.975757575757576,0.636363636363636,0.903030303030303,0.854545454545454,0.915151515151515,0.866666666666667,0.963636363636364,0.854545454545454,0.781818181818182,-0.0243162217472026,0.0333333333333333,-0.683333333333333,-0.5,0.0166666666666667,0.793939393939394,0.65,0.433333333333333,0.716666666666667,0.683333333333333,0.216666666666667,0.716666666666667,0.449466574975495,0.345705358827356,0.587878787878788,0.127272727272727,0.757575757575757,0.582317073170732,0.733333333333333,0.783333333333333,0.384629433722639,-0.0769258867445278,-0.0836827408755723,0.816666666666667,0.860337625736024,11.4037339804128
"8","01055000",423.12,72.81304,250.64,"251.16","01","Swift River near Roxbury, Maine","q_sim_fuse_900",0.617398850513109,0.734391412482558,0.0386470225865125,0.112548407356134,0.602018032423142,0.651379192645193,0.6,-0.0424242424242424,0.927272727272727,0.78712036726201,0.78712036726201,0.911434252148548,0.868142910558961,0.868142910558961,0.396914198687172,0.296969696969697,0.333333333333333,0.745454545454545,0.866666666666667,0.733333333333333,0.842424242424242,0.915151515151515,0.806060606060606,0.890909090909091,0.915151515151515,0.939393939393939,0.927272727272727,0.975757575757576,-0.0787878787878788,0.1,-0.283333333333333,-0.366666666666667,0.25,0.587878787878788,0.7,0.583333333333333,0.916666666666667,0.933333333333333,0.266666666666667,-0.25,0.753410574956818,0.581552631499044,0.806060606060606,-0.170731707317073,0.689024390243903,0.917937370956898,0.95,0.983333333333333,0.310924369747899,0.0253184841770917,-0.0666666666666667,0.95,0.901318387093966,12.2699328580451
"9","01057000",215.59,32.68445,190.92,"197.7","01","Little Androscoggin River near South Paris, Maine","q_sim_fuse_900",0.753857088758085,0.798168093942389,0.122993492671303,0.236305493248896,0.719337417470652,0.632221765427267,0.76969696969697,0.672727272727273,0.854545454545454,0.872347287058558,0.872347287058558,0.930016168392161,0.860203124158571,0.860203124158571,0.500115972373023,0.381818181818182,0.539393939393939,0.878787878787879,0.636363636363636,0.684848484848485,0.781818181818182,0.939393939393939,0.842424242424242,0.987878787878788,0.951515151515151,0.951515151515151,0.975757575757576,0.963636363636364,0.357575757575757,0.483333333333333,0.0833333333333333,0.733333333333333,0.866666666666667,0.866666666666667,0.766666666666667,0.5,0.516666666666667,0.766666666666667,0.1,0.0585779186129006,0.404761904761905,0.0770244248944645,0.757575757575757,0.406060606060606,0.786585365853659,0.936174537267299,0.9,0.983333333333333,0.194108378691036,0.207627118644068,0.183333333333333,0.95,0.865491692101406,12.8241368109063
"10","01073000",37.67,4.75043,31.3,"32.11","01","OYSTER RIVER NEAR DURHAM, NH","q_sim_fuse_900",0.777094932584605,0.733740625985631,0.0438283547633627,0.120853850990565,0.766877559561778,0.820672483968087,0.842424242424242,0.36969696969697,0.806060606060606,0.890246417493184,0.890246417493184,0.799920092521844,1.13717228583419,0.862827714165814,-0.812162772636157,0.381818181818182,0.890909090909091,0.551515151515151,0.854545454545454,0.842424242424242,0.83030303030303,0.903030303030303,0.842424242424242,0.733333333333333,0.951515151515151,0.963636363636364,0.975757575757576,0.878787878787879,0.636363636363636,0.416666666666667,0.333333333333333,0.816666666666667,0.75,0.818181818181818,0.85,0.933333333333333,0.716666666666667,0.65,0.65,0.833333333333333,0.470620805335012,0.246932399162397,0.406060606060606,0.76969696969697,0.878787878787879,0.85106776115209,0.95,0.95,0.338983050847458,0.777893573055314,0.583333333333333,0.95,0.775345937801794,11.61985615824
