"","ID","mdl","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Beta_p","Gamma","Gamma_p","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","CoV","QCI","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"1","CHFO-0098","lstm-Kraft2025",0.495297335049457,0.252448985549072,0.411144114976265,0.503117319445373,0.142909703738122,0.910641223134712,0.724034454015004,0.726646290636288,0.698519301956637,0.887102403156438,0.602448186786826,0.602448186786826,1.62292793134076,0.377072068659241,-0.320417934198509,0.905869910100476,0.899101004759387,0.875409836065574,0.926599682707562,0.89227921734532,0.842305658381808,0.823902696985722,0.840401903754627,0.808408249603384,0.903701745108408,0.862612374405077,0.911475409836065,0.804945818282856,0.708641289247013,0.724312308974715,0.752875798833009,0.767879966657405,0.82845234787441,0.7475965545985,0.754320644623507,0.799277577104751,0.81939427618783,0.808224506807447,0.37637068674744,0.751368861309215,0.00932256239714442,0.0392651498895428,0.742590357424971,0.506794120294588,0.435576690758531,0.789366927384414,0.925257015837733,0.933481522645179,0.500090916655639,0.388729059246619,0.392643750862779,0.880188941372604,0.490360865362976,10.2506656539819,0.431409808535083,0.169907962011225,0.327620950616787,0.430693893196481,0.0409605471092386,0.519459660543979,0.430289709250567,0.133256841352782,0.43645344939665
"2","CHFO-0105","lstm-Kraft2025",0.906881015053536,0.873810414811432,0.811082343675009,0.861840013566413,0.507092207483911,0.809237497989187,0.721644901361489,0.697304806890803,0.438762559492332,0.958815746383891,0.881031386497108,0.881031386497108,1.00861032318478,0.991389676815217,0.382930650250032,0.463194077207826,0.330724484399788,0.544632469592808,0.603913273400317,0.837863564251719,0.843469063987308,0.850237969328398,0.784029613960867,0.840454785827604,0.65520888418826,0.214383923849815,0.374669487043892,0.712642400666852,0.486346037045929,0.485120453659169,0.500527924423451,0.449791608780217,0.497304806890803,0.228094305305498,0.228285634898583,0.346540705751598,0.60477910530703,0.744095582106141,0.0758481775608145,0.383746808918695,0.304233106373603,0,0.624619535693582,0,0,0.779853140973865,0.852070019449847,0.803223117532648,0.229242945902699,-0.0143335290725762,-0.13745379895366,0.810502917477077,1.24136826395794,20.7084309007368,0.813600067388453,0.0641197072476603,0.0979788697845744,0.819288300759725,0.0145636376522499,0.166961930567572,0.817227965706104,0.0437945904356296,0.138977443858266
"3","CHFO-0112","lstm-Kraft2025",0.591642246855481,0.456339618862227,0.579402689412719,0.670302237400568,0.0291004177503454,0.86645810044996,0.82759019426457,0.393963922294172,0.728492136910268,0.931837597919378,1.49668156153172,0.503318438468285,0.789695641044022,0.789695641044022,0.116555415966325,0.566000868432479,0.5412505427703,0.802431610942249,0.862244897959184,0.912831089882762,0.886235345201911,0.808076422058185,0.87733391228832,0.90686061658706,0.891011723838471,0.845419018671298,0.607034303082935,0.848288621646624,0.206649320958326,0.15922756706753,0.214847363552266,0.332562442183164,0.502197039777983,0.777405180388529,0.793131359851989,0.854417206290472,0.851295097132285,0.85141073080481,0.175506075516384,0.750780980083099,0.4271319631864,0,0.465394623501278,0,0,0.76597037892858,0.915124884366327,0.913159111933395,0.251350993411378,0.200647397855995,0.252646197981661,0.837881591119334,0.829825637924581,13.797701846181,0.603237378524901,0.128805034000565,0.226364357235097,0.596710867205592,0.0349800121610546,0.366741470276397,0.596735773788798,0.129986847089477,0.273277379121738
"4","CHFO-0126","lstm-Kraft2025",0.811400997332149,0.851067507146209,0.768920739307383,0.82891188169057,0.183834143736822,0.754539899502789,0.726590719644346,0.614059460961378,0.441195134849286,0.92813171424882,1.13013715646184,0.869862843538158,0.99104693131617,0.99104693131617,0.926664667229658,0.66467477525119,0.588524590163934,0.85695399259651,0.872818614489688,0.848863035430989,0.763458487572713,0.620518244315177,0.708461131676362,0.745901639344262,0.777578001057641,0.774669487043892,0.666737176097303,0.773103639899972,0.377278795818232,0.375774586572618,0.38780755501874,0.541539316476799,0.717143651014171,0.29516942444394,0.432342317310364,0.529869408168936,0.661739372047791,0.692025562656294,0.556535168030244,0.18787533392034,0.22391509562724,0.506689560703658,0.335552004479002,0.666092371569331,0.710687280052128,0.670551445424605,0.73753820505696,0.630786329535982,0.35054547170917,0.137785470972648,0.103373534192083,0.754876354542929,0.998731554542568,16.3978987771805,0.773719700219082,0.0681860421409811,0.130438515770692,0.776499840067265,0.0151043596312683,0.209204382303021,0.776436954312597,0.0394925424338271,0.184070503253575
"5","CHFO-0135","lstm-Kraft2025",0.867644856696443,0.877215545035669,0.732138197458433,0.799461180034751,0.505882727407475,0.685101469329171,0.701917199222006,0.624395665462629,0.484135378106822,0.935428122582502,1.075821430554,0.924178569446001,0.928183527680534,0.928183527680534,0.493560951993776,0.386885245901639,0.272078265468006,0.373770491803279,0.760391327340032,0.786620835536753,0.891433104177684,0.697673188789,0.6613960867266,0.791750396615547,0.854997355896351,0.901730588796266,0.746589106292967,0.779549874965268,0.149239216748415,0.138275997074972,0.14530448987068,0.22167268685746,0.284078910808558,0.588774659627674,0.526486892060979,0.453237010280634,0.58388441233676,0.525757154765213,0.124445502646279,0.187483495561747,0.343275666319146,0.0775030566457357,0.503675193923679,0.44011331120764,0.439934964523545,0.705700739057595,0.687357599333148,0.47857738260628,0.445601580462034,-0.0833856986280624,0.123909298825824,0.490136148930258,1.12103811005553,18.4606339755877,0.736596257692813,0.0732923038995406,0.15626482418359,0.742904255924801,0.01189976861269,0.2438071869543,0.740861780114418,0.0399940742785987,0.219144145606982
"6","CHFO-0137","lstm-Kraft2025",0.182643803166532,0.557476340057067,0.635824580790862,0.718707347153678,-1.24440243278495,0.823025261588574,0.793776048902473,0.623061961656016,0.586620835536753,0.943524261786034,1.3356433831859,0.664356616814099,1.28280947637234,0.717190523627658,0.751440950738691,0.282125859333686,0.0684822845055526,0.231887890005288,0.71390798519302,0.815335801163405,0.748175568482285,0.892332099418297,0.861872025383395,0.783870967741935,0.760391327340032,0.752353252247488,0.469063987308303,0.724034454015004,0.0313186052766166,0.160801367243054,0.208511052322771,0.119229219645011,0.174270630730759,0.710262715582793,0.780327868852459,0.778105029174771,0.773714920811337,0.74609613781606,0.0700998261478717,0.594695286766099,0.286066902031485,0.137832312973722,0.512636332109221,0.171421028912079,0.463774367707944,0.649054768865407,0.875632120033343,0.891414281744929,0.3175670379497,0.152076220491407,0.0641351618524996,0.853181439288692,0.797656119378237,13.3420572076681,0.6541843776074,0.127183907140382,0.18957397846106,0.651131863906271,0.0342154992790059,0.312623663437232,0.647670192345069,0.103346302937106,0.248983504717825
"7","CHFO-0149","lstm-Kraft2025",0.611021052418343,0.608635822316393,0.14496503785316,0.149832291535841,0.54507246510131,0.831788616139734,0.817393720477911,0.66724090025007,0.725066102591222,0.88626301378635,0.683798404684723,0.683798404684723,0.799385023836515,0.799385023836515,0.658556171724693,0.93262823902697,0.932363828662084,0.876943416181914,0.910470650449497,0.860391327340032,0.93648863035431,0.958910629296668,0.9216287678477,0.921787414066631,0.955949233209942,0.920095187731359,0.914172395557906,0.851958877465963,0.714355202228239,0.727795607122294,0.722534037232565,0.80277854959711,0.854348430119478,0.528146707418727,0.738149485968325,0.670908585718255,0.661072520144485,0.822839677688247,0.163206892012528,0.588230389829597,0.360136937597464,0.3464133085203,0.705060160613555,0.646891282256961,0.81061585673227,0.741259715150807,0.809669352597944,0.812892470130592,0.522995086261806,0.509431856297505,0.335547157357367,0.790275076410114,0.54124969350147,10.4713530864123,0.172746587514848,0.203408378962216,0.532838470909008,0.171577230033709,0.0144042119789543,0.812412457514145,0.172766884084888,0.0665175968656673,0.760715519049442
"8","CHFO-0169","lstm-Kraft2025",0.89755238048433,0.943080533228152,0.684966407409263,0.760986841822254,0.674804141764143,0.931718182699009,0.795815295815296,0.855844155844156,0.814502164502164,0.952051938106029,1.02768621548261,0.972313784517393,1.01320161090375,0.98679838909625,0.795133621552961,0.597607655502392,0.574914559125085,0.863362952836637,0.861859193438141,0.932604237867396,0.855365686944634,0.894941900205058,0.905331510594668,0.865823650034176,0.943540669856459,0.927341079972659,0.830211893369788,0.88982683982684,0.658284931342193,0.652068038851367,0.632539682539683,0.63975468975469,0.710966810966811,0.786507936507936,0.807142857142857,0.818975468975469,0.855050505050505,0.875252525252525,0.169715259936823,0.546457268697932,0.579883668988228,-0.00238941065843381,0.645942344259598,0.389095770755005,0.67824655981853,0.861761474107344,0.811544011544012,0.837301587301587,0.308161215772075,0.248127719284482,0.270634505799698,0.890692640692641,0.773493408427177,13.1114046922315,0.694673702863154,0.0969710630134648,0.17150491813952,0.698899849440521,0.0250016955327346,0.274191429174632,0.696117249076329,0.0945743757429667,0.209308375180711
"9","CHFO-0187","lstm-Kraft2025",0.774050846230209,0.701638553744098,0.0202272064485253,-0.124550223374458,0.769386172736261,0.794537985303478,0.659343200740055,0.603029602220166,0.556313598519889,0.886054272698333,1.09925436746316,0.900745632536837,0.74273652730888,0.74273652730888,0.602308706328022,0.959296947271045,0.955058619192358,0.919127225358228,0.96873643074251,0.971993052540165,0.971558836300478,0.967867998263135,0.943117672600955,0.952453321754234,0.975141120277898,0.955058619192358,0.934867564046895,0.948311748381129,0.799826537459271,0.80061287651622,0.811401480111008,0.864246068455134,0.901480111008326,0.503931544865865,0.701086956521739,0.692876965772433,0.788621646623497,0.791512488436633,0.34550764885329,0.0538477128623765,0.627755765619533,0.516502399251724,0.846329554626589,0.558822138915437,0.857956738983533,0.930133024869867,0.907146160962072,0.97895467160037,0.439652469554115,0.469893430732714,0.423051359082095,0.95386216466235,0.311018059409515,8.91062198538383,0.0656642037583625,0.256981157907254,0.576433097181575,0.0614459403474598,0.0405375553809935,0.890966263196029,0.0607026705654886,0.115514955865478,0.823782373569031
"10","CHFO-0189","lstm-Kraft2025",0.827290072816306,0.789228532372946,0.0115217089615041,-0.152856090790825,0.825276964856512,0.920665292308531,0.797101449275362,0.520567375886525,0.788714153561517,0.932968256953947,0.878114527167991,0.878114527167991,1.15835178717775,0.841648212822248,0.63395334320164,0.946230342275671,0.944148936170213,0.953977798334875,0.9736355226642,0.96958834412581,0.977567067530065,0.973404255319149,0.938598519888992,0.956290471785384,0.93940795559667,0.964153561517114,0.960568917668825,0.966574159728646,0.68204384996503,0.696947271045328,0.728276287388221,0.81658957755165,0.886401480111008,0.884427998766574,0.921800801726796,0.916003700277521,0.923527597903176,0.927474560592044,0.560572419760378,0.656127579817992,0.467449611466221,0.467025376689464,0.790057974589861,0.772850624388357,0.903013854624204,0.959739635125514,0.937341967314215,0.965340733888375,0.384839697531321,0.40450102954196,0.161233616113686,0.941165587419056,0.148224476619048,8.47888969272657,0.0557936187462696,0.309405230584956,0.519094285867773,0.0534829467911103,0.0891264919985069,0.842346291936552,0.0531474366926989,0.285380010367007,0.661472552940466
