"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1","AT00001",4.6179292940751,-2.64848484053756,12.7939393737099,3,1542.57575757576,100.075757575758,110.863636363636,100.075757575758,187.848484848485,116.893939393939,909.651515151516,632.924242424242,1542.57575757576,23.2358585881502,"D","f","c","Dfc"
"2","AT00002",5.9535087742761,-1.66000000481543,14.2010526657104,4,1524.90526315789,95.4105263157895,111.810526315789,95.4105263157895,186.084210526316,117.452631578947,908.589473684211,616.315789473684,1524.90526315789,25.9070175485522,"D","f","b","Dfb"
"3","AT00003",4.20211863515656,-3.55762709601451,12.6355932526669,3,1514.01694915254,97.0338983050847,109.576271186441,97.0338983050847,184.847457627119,114.203389830508,892.677966101696,621.338983050847,1514.01694915254,22.4042372703131,"D","f","c","Dfc"
"4","AT00004",8.21256831263909,-1.38360652962669,17.7057377080448,5,965.680327868852,58.3934426229508,67.5409836065574,58.3934426229508,117.598360655738,75.3114754098361,557.827868852459,407.852459016393,965.680327868852,30.4251366252782,"D","f","b","Dfb"
"5","AT00005",8.19909910897951,-1.42342340516614,17.7018017296319,5,999.765765765765,60.972972972973,69.981981981982,60.972972972973,121.495495495495,78.6036036036036,572.45045045045,427.315315315315,999.765765765765,30.398198217959,"D","f","b","Dfb"
"6","AT00006",7.93671329168382,-1.70209790443207,17.3944054983713,5,990.27972027972,63.4755244755245,67.3916083916084,63.4755244755245,117.251748251748,84.2797202797203,551.608391608391,438.671328671329,990.27972027972,29.8734265833676,"D","f","b","Dfb"
"7","AT00007",6.36123681480001,-2.77782803423264,15.4538462021772,5,1152.58823529412,71.710407239819,71.710407239819,80.9049773755656,131.14479638009,115.371040723982,596.447963800905,556.140271493213,1152.58823529412,26.7224736296,"D","f","b","Dfb"
"8","AT00008",6.47643806380261,-2.62920353317683,15.5900442874537,5,1123.55309734513,71.4911504424779,71.4911504424779,77.4823008849557,130.493362831858,109.548672566372,591.949115044247,531.603982300885,1123.55309734513,26.9528761276052,"D","f","b","Dfb"
"9","AT00009",6.58160311095207,-2.64618644067797,15.7690678006512,5,1041.85593220339,66.9279661016949,70.4406779661017,66.9279661016949,129.737288135593,90.8177966101695,584.92372881356,456.932203389831,1041.85593220339,27.1632062219041,"D","f","b","Dfb"
"10","AT00010",4.17048711171544,-4.24555873392646,12.8338109142118,3,1356.86819484241,71.9598853868195,99.4527220630372,71.9598853868195,176.905444126074,103.573065902579,818.790830945558,538.077363896848,1356.86819484241,22.3409742234309,"D","f","c","Dfc"
"11","AT00011",5.63402953681845,-3.4146835423723,14.7055696366708,4,1134.95949367089,58.7620253164557,79.7670886075949,58.7620253164557,154.167088607595,86.3594936708861,699.913924050632,435.045569620253,1134.95949367089,25.2680590736369,"D","f","b","Dfb"
"12","AT00012",6.01063686595135,-2.83658536469064,14.9634145953791,5,1207.52032520325,65.0325203252033,82.869918699187,65.0325203252033,163.154471544715,91.7479674796748,732.829268292682,474.691056910569,1207.52032520325,26.0212737319027,"D","f","b","Dfb"
"13","AT00013",5.75549517024831,-3.19637681435848,14.8956521490346,5,932.463768115942,51.5,70.7536231884058,51.5,126.528985507246,66.9565217391304,576.884057971015,355.579710144928,932.463768115942,25.5109903404966,"D","f","b","Dfb"
"14","AT00014",6.00023831286426,-3.01845019307964,15.2532287743699,5,836.666051660517,44.6854243542435,64.8505535055351,44.6854243542435,113.965867158672,58.4317343173432,524.414206642067,312.25184501845,836.666051660517,26.0004766257285,"D","f","b","Dfb"
"15","AT00015",8.93493759987209,-1.17941176174159,18.9155079744716,5,545.002673796792,22.8716577540107,40.644385026738,22.8716577540107,79.9545454545455,40.3262032085562,363.550802139038,181.451871657754,545.002673796792,31.8698751997442,"D","f","b","Dfb"
"16","AT00016",9.44101645836741,-0.878343942533633,19.4772293339869,5,544.453821656051,25.0748407643312,40.7595541401274,25.0748407643312,75.4283439490446,41.3423566878981,353.124203821656,191.329617834395,544.453821656051,32.8820329167348,"D","f","b","Dfb"
"17","AT00017",9.1539985617841,-1.13458212857975,19.2269452834335,5,533.659942363112,23.1541786743516,39.5028818443804,23.1541786743516,78.1325648414986,39.4870317002882,354.188760806916,179.471181556196,533.659942363112,32.3079971235682,"D","f","b","Dfb"
"18","AT00018",8.32831384293503,-1.61812865943239,18.0543859939129,5,745.789473684211,35.625730994152,53.9824561403509,35.625730994152,105.233918128655,51.0877192982456,481.485380116959,264.304093567251,745.789473684211,30.6566276858701,"D","f","b","Dfb"
"19","AT00019",8.36226414593495,-1.3188679315759,17.8547170627042,5,800.327044025157,34.4905660377358,56.9811320754717,34.4905660377358,104.320754716981,62.0377358490566,509.433962264151,290.893081761006,800.327044025157,30.7245282918699,"D","f","b","Dfb"
"20","AT00020",7.9372112202664,-1.51138613424679,17.2480198321956,5,829.945544554455,37.7673267326733,58.7524752475247,37.7673267326733,105.277227722772,62.9356435643564,522.836633663366,307.108910891089,829.945544554455,29.8744224405328,"D","f","b","Dfb"
"21","AT00021",4.2244971279087,-3.99741378734852,12.8137930837171,3,1456.44827586207,75.7327586206897,105.844827586207,75.7327586206897,192.198275862069,105.51724137931,886.594827586208,569.853448275862,1456.44827586207,22.4489942558174,"D","f","c","Dfc"
"22","AT00022",7.02702381369613,-2.29642855950764,16.2985713754381,5,1030.57142857143,43.8428571428571,71.1,43.8428571428571,142.407142857143,76.7428571428571,669.55,361.021428571428,1030.57142857143,28.0540476273923,"D","f","b","Dfb"
"23","AT00023",-2.35132275572017,-9.54761910060095,5.72539684696803,0,1503.03174603175,90.4444444444444,119.095238095238,90.4444444444444,172.412698412698,123.428571428571,854.825396825396,648.206349206349,1503.03174603175,9.29735448855966,"E","T","","ET"
"24","AT00024",-1.60756802902285,-8.85102045292757,6.58163267860607,0,1480.91836734694,86.6326530612245,119.040816326531,86.6326530612245,173.204081632653,120.673469387755,854.34693877551,626.571428571429,1480.91836734694,10.7848639419543,"E","T","","ET"
"25","AT00025",4.3275830866631,-4.25913129224711,13.369200379333,3,1288.5982230997,56.7739387956565,99.4521224086871,56.7739387956565,155.143139190523,119.684106614018,790.148075024679,498.450148075025,1288.5982230997,22.6551661733262,"D","f","c","Dfc"
"26","AT00026",5.06123903785027,-3.84557415815917,14.3077751184194,4,1379.83133971292,60.3313397129187,108.818181818182,60.3313397129187,157.745215311005,134.27033492823,825.946770334928,553.88456937799,1379.83133971292,24.1224780757005,"D","f","b","Dfb"
"27","AT00027",2.80445619434126,-5.05015104847012,11.2410876196317,2,1649.89728096677,76.3383685800604,136.643504531722,76.3383685800604,187.29003021148,145.495468277946,983.709969788519,666.187311178248,1649.89728096677,19.6089123886825,"D","f","c","Dfc"
"28","AT00028",6.89417373664719,-2.39661015494395,16.1050847586939,5,1112.57627118644,71.0677966101695,71.0677966101695,76.9110169491525,128.347457627119,106.983050847458,587.372881355933,525.203389830509,1112.57627118644,27.7883474732944,"D","f","b","Dfb"
"29","AT00029",8.14447655065222,-1.24998518383061,17.5265778506244,5,825.407407407407,40.8222222222222,60.6666666666667,40.8222222222222,104.451851851852,60.8296296296296,516.814814814815,308.592592592592,825.407407407407,30.2889531013044,"D","f","b","Dfb"
"30","AT00030",8.30233106681103,-1.19801360389002,17.7652789719251,5,806.08843537415,40.2721088435374,59.3333333333333,40.2721088435374,101.265306122449,60.0816326530612,502.938775510204,303.149659863945,806.08843537415,30.6046621336221,"D","f","b","Dfb"
"31","AT00031",-4.37362869285865,-11.3575949578346,3.57215190542084,0,1118.43037974684,73.3544303797468,81.5379746835443,73.3544303797468,115.044303797468,100.5,592.063291139241,526.367088607595,1118.43037974684,5.25274261428271,"E","T","","ET"
"32","AT00032",-3.62824074620943,-10.7373015956273,4.3833333348471,0,1040.36507936508,68.9444444444444,78.0873015873016,68.9444444444444,111.595238095238,89.5476190476191,567.769841269842,472.595238095238,1040.36507936508,6.74351850758115,"E","T","","ET"
"33","AT00033",-2.42867477050477,-9.59907407934467,5.68831019442425,0,1045.95023148148,67.6770833333333,79.1145833333333,67.6770833333333,114.173611111111,88.1342592592593,579.011574074074,466.938657407408,1045.95023148148,9.14265045899047,"E","T","","ET"
"34","AT00034",-1.56483192214815,-8.78144727540622,6.57390300658251,0,1075.73595073133,68.2132409545804,81.9114703618168,68.2132409545804,119.830638953041,88.6066204772902,603.826789838338,471.909160892994,1075.73595073133,10.8703361557037,"E","T","","ET"
"35","AT00035",8.34695125289443,-1.35853655163835,17.9097557533078,5,994.439024390243,60.8292682926829,70.3170731707317,60.8292682926829,121.634146341463,78.390243902439,569.195121951219,425.243902439024,994.439024390243,30.6939025057889,"D","f","b","Dfb"
"36","AT00036",7.04754072862951,-1.83515037472983,16.0721804486182,5,958.866541353384,46.7443609022556,69.8063909774436,46.7443609022556,122.293233082707,69.6691729323308,599.071428571429,359.795112781955,958.866541353384,28.095081457259,"D","f","b","Dfb"
"37","AT00038",3.47487374012882,-4.66144780879872,12.2575757728281,2,1250.04377104377,56.462962962963,95.1565656565657,56.462962962963,155.777777777778,110.048821548822,778.676767676769,471.367003367004,1250.04377104377,20.9497474802576,"D","f","c","Dfc"
"38","AT00039",6.6820286186506,-2.01010101070308,15.6146464829493,5,1010.95454545455,50.2626262626263,74.2323232323232,50.2626262626263,129.757575757576,72.5606060606061,630.535353535354,380.419191919192,1010.95454545455,27.3640572373012,"D","f","b","Dfb"
"39","AT00040",8.35205128881604,-1.17000002127427,17.8576922930204,5,1076.72307692308,64.7692307692308,78.3538461538461,64.7692307692308,134.146153846154,83.7538461538462,621.430769230769,455.292307692308,1076.72307692308,30.7041025776321,"D","f","b","Dfb"
"40","AT00041",6.76268622392158,-3.74399441547234,16.6673184386845,5,1145.64804469274,45.9399441340782,88.7304469273743,45.9399441340782,141.608938547486,107.167597765363,705.775139664804,439.872905027933,1145.64804469274,27.5253724478432,"D","f","b","Dfb"
"41","AT00042",-2.21559684836225,-9.39806949885195,5.90086873025997,0,1066.41698841699,68.7722007722008,80.5135135135135,68.7722007722008,116.77027027027,89.6824324324324,591.750965250965,474.666023166023,1066.41698841699,9.56880630327549,"E","T","","ET"
